step,lr,loss
2176,0.0003,4.0723
2304,0.0003,4.0197
2432,0.0003,3.9733
2560,0.0003,3.9361
2688,0.0003,3.9013
2816,0.0003,3.8739
2944,0.0003,3.8506
3072,0.0003,3.8243
3200,0.0003,3.8026
3328,0.0003,3.7828
3456,0.0003,3.7661
3584,0.0003,3.7485
3712,0.0003,3.735
3840,0.0003,3.7208
3968,0.0003,3.707
4096,0.0003,3.6944
4224,0.0003,3.6862
4352,0.0003,3.6726
4480,0.0003,3.6642
4608,0.0003,3.6553
4736,0.0003,3.6451
4864,0.0003,3.6377
4992,0.0003,3.6306
5120,0.0003,3.6223
5248,0.0003,3.616
5376,0.0003,3.6069
5504,0.0003,3.6015
5632,0.0003,3.5935
5760,0.0003,3.5899
5888,0.0003,3.5814
6016,0.0003,3.5768
6144,0.0003,3.5696
6272,0.0003,3.5653
6400,0.0003,3.5639
6528,0.0003,3.5599
6656,0.0003,3.5514
6784,0.0003,3.5487
6912,0.0003,3.544
7040,0.0003,3.5408
7168,0.0003,3.5366
7296,0.0003,3.5311
7424,0.0003,3.5267
7552,0.0003,3.5229
7680,0.0003,3.5203
7808,0.0003,3.5186
7936,0.0003,3.5144
8000,3.0000000000000004e-05,3.5162
8128,3.0000000000000004e-05,3.4643
8256,3.0000000000000004e-05,3.454
8384,3.0000000000000004e-05,3.4479
8512,3.0000000000000004e-05,3.4436
8640,3.0000000000000004e-05,3.4402
8768,3.0000000000000004e-05,3.4374
8896,3.0000000000000004e-05,3.4351
9024,3.0000000000000004e-05,3.4329
9152,3.0000000000000004e-05,3.4311
9280,3.0000000000000004e-05,3.4294
9408,3.0000000000000004e-05,3.4276
9536,3.0000000000000004e-05,3.4262
9664,3.0000000000000004e-05,3.4249
9792,3.0000000000000004e-05,3.4236
9920,3.0000000000000004e-05,3.4222
10048,3.0000000000000004e-05,3.4213
10176,3.0000000000000004e-05,3.42
10304,3.0000000000000004e-05,3.4189
10432,3.0000000000000004e-05,3.418
10560,3.0000000000000004e-05,3.4168
10688,3.0000000000000004e-05,3.4158
10816,3.0000000000000004e-05,3.4151
10944,3.0000000000000004e-05,3.4141
11072,3.0000000000000004e-05,3.4133
11200,3.0000000000000004e-05,3.4124
11328,3.0000000000000004e-05,3.4115
11456,3.0000000000000004e-05,3.4108
11584,3.0000000000000004e-05,3.4101
11712,3.0000000000000004e-05,3.4092
11840,3.0000000000000004e-05,3.4084
11968,3.0000000000000004e-05,3.4076
12096,3.0000000000000004e-05,3.4068
12224,3.0000000000000004e-05,3.406
12352,3.0000000000000004e-05,3.4053
12480,3.0000000000000004e-05,3.4045
12608,3.0000000000000004e-05,3.4038
12736,3.0000000000000004e-05,3.4033
12864,3.0000000000000004e-05,3.4027
12992,3.0000000000000004e-05,3.4018
13120,3.0000000000000004e-05,3.4015
13248,3.0000000000000004e-05,3.4008
13376,3.0000000000000004e-05,3.4
13504,3.0000000000000004e-05,3.3993
13632,3.0000000000000004e-05,3.3987
13760,3.0000000000000004e-05,3.3984
13888,3.0000000000000004e-05,3.3975
14016,3.0000000000000004e-05,3.3971
14144,3.0000000000000004e-05,3.3964
