step,lr,loss
2176,0.0003,4.0723
2304,0.0003,4.0197
2432,0.0003,3.9733
2560,0.0003,3.9361
2688,0.0003,3.9013
2816,0.0003,3.8739
2944,0.0003,3.8506
3072,0.0003,3.8243
3200,0.0003,3.8026
3328,0.0003,3.7828
3456,0.0003,3.7661
3584,0.0003,3.7485
3712,0.0003,3.735
3840,0.0003,3.7208
3968,0.0003,3.707
4096,0.0003,3.6944
4224,0.0003,3.6862
4352,0.0003,3.6726
4480,0.0003,3.6642
4608,0.0003,3.6553
4736,0.0003,3.6451
4864,0.0003,3.6377
4992,0.0003,3.6306
5120,0.0003,3.6223
5248,0.0003,3.616
5376,0.0003,3.6069
5504,0.0003,3.6015
5632,0.0003,3.5935
5760,0.0003,3.5899
5888,0.0003,3.5814
6016,0.0003,3.5768
6144,0.0003,3.5696
6272,0.0003,3.5653
6400,0.0003,3.5639
6528,0.0003,3.5599
6656,0.0003,3.5514
6784,0.0003,3.5487
6912,0.0003,3.544
7040,0.0003,3.5408
7168,0.0003,3.5366
7296,0.0003,3.5311
7424,0.0003,3.5267
7552,0.0003,3.5229
7680,0.0003,3.5203
7808,0.0003,3.5186
7936,0.0003,3.5144
8000,9e-05,3.5159
8128,9e-05,3.4647
8256,9e-05,3.4549
8384,9e-05,3.4501
8512,9e-05,3.4462
8640,9e-05,3.4438
8768,9e-05,3.4409
8896,9e-05,3.4389
9024,9e-05,3.4366
9152,9e-05,3.4346
9280,9e-05,3.4327
9408,9e-05,3.4309
9536,9e-05,3.4297
9664,9e-05,3.4279
9792,9e-05,3.426
9920,9e-05,3.4247
10048,9e-05,3.424
10176,9e-05,3.4226
10304,9e-05,3.4209
10432,9e-05,3.4195
10560,9e-05,3.4181
10688,9e-05,3.4169
10816,9e-05,3.4164
10944,9e-05,3.415
11072,9e-05,3.414
11200,9e-05,3.4124
11328,9e-05,3.4109
11456,9e-05,3.4097
11584,9e-05,3.4094
11712,9e-05,3.4079
11840,9e-05,3.4067
11968,9e-05,3.4055
12096,9e-05,3.4042
12224,9e-05,3.4037
12352,9e-05,3.4029
12480,9e-05,3.4013
12608,9e-05,3.4009
12736,9e-05,3.3997
12864,9e-05,3.3987
12992,9e-05,3.3972
13120,9e-05,3.3972
13248,9e-05,3.396
13376,9e-05,3.3953
13504,9e-05,3.3941
13632,9e-05,3.3935
13760,9e-05,3.3924
13888,9e-05,3.3917
14016,9e-05,3.3909
14144,9e-05,3.3901
