step,lr,loss
2176,0.0003,4.0723
2304,0.0003,4.0197
2432,0.0003,3.9733
2560,0.0003,3.9361
2688,0.0003,3.9013
2816,0.0003,3.8739
2944,0.0003,3.8506
3072,0.0003,3.8243
3200,0.0003,3.8026
3328,0.0003,3.7828
3456,0.0003,3.7661
3584,0.0003,3.7485
3712,0.0003,3.735
3840,0.0003,3.7208
3968,0.0003,3.707
4096,0.0003,3.6944
4224,0.0003,3.6862
4352,0.0003,3.6726
4480,0.0003,3.6642
4608,0.0003,3.6553
4736,0.0003,3.6451
4864,0.0003,3.6377
4992,0.0003,3.6306
5120,0.0003,3.6223
5248,0.0003,3.616
5376,0.0003,3.6069
5504,0.0003,3.6015
5632,0.0003,3.5935
5760,0.0003,3.5899
5888,0.0003,3.5814
6016,0.0003,3.5768
6144,0.0003,3.5696
6272,0.0003,3.5653
6400,0.0003,3.5639
6528,0.0003,3.5599
6656,0.0003,3.5514
6784,0.0003,3.5487
6912,0.0003,3.544
7040,0.0003,3.5408
7168,0.0003,3.5366
7296,0.0003,3.5311
7424,0.0003,3.5267
7552,0.0003,3.5229
7680,0.0003,3.5203
7808,0.0003,3.5186
7936,0.0003,3.5144
8000,0.00018,3.5182
8128,0.00018,3.4833
8256,0.00018,3.4755
8384,0.00018,3.4718
8512,0.00018,3.4685
8640,0.00018,3.4657
8768,0.00018,3.4628
8896,0.00018,3.4604
9024,0.00018,3.4583
9152,0.00018,3.4556
9280,0.00018,3.4534
9408,0.00018,3.4524
9536,0.00018,3.4498
9664,0.00018,3.4483
9792,0.00018,3.4457
9920,0.00018,3.4442
10048,0.00018,3.4438
10176,0.00018,3.4405
10304,0.00018,3.4387
10432,0.00018,3.4373
10560,0.00018,3.4353
10688,0.00018,3.4341
10816,0.00018,3.4329
10944,0.00018,3.4313
11072,0.00018,3.4298
11200,0.00018,3.4273
11328,0.00018,3.4258
11456,0.00018,3.4248
11584,0.00018,3.4243
11712,0.00018,3.4223
11840,0.00018,3.4227
11968,0.00018,3.4193
12096,0.00018,3.4169
12224,0.00018,3.4161
12352,0.00018,3.4154
12480,0.00018,3.4131
12608,0.00018,3.4119
12736,0.00018,3.4107
12864,0.00018,3.4103
12992,0.00018,3.4088
13120,0.00018,3.4085
13248,0.00018,3.4063
13376,0.00018,3.4056
13504,0.00018,3.4039
13632,0.00018,3.4027
13760,0.00018,3.4019
13888,0.00018,3.4011
14016,0.00018,3.3991
14144,0.00018,3.3985
