step,lr,loss
2176,0.0003,3.5581
2304,0.0003,3.5306
2432,0.0003,3.4758
2560,0.0003,3.4428
2688,0.0003,3.4142
2816,0.0003,3.3857
2944,0.0003,3.3619
3072,0.0003,3.3367
3200,0.0003,3.3178
3328,0.0003,3.2977
3456,0.0003,3.2795
3584,0.0003,3.2629
3712,0.0003,3.2488
3840,0.0003,3.2402
3968,0.0003,3.224
4096,0.0003,3.2116
4224,0.0003,3.1991
4352,0.0003,3.187
4480,0.0003,3.1761
4608,0.0003,3.1663
4736,0.0003,3.1553
4864,0.0003,3.1482
4992,0.0003,3.1371
5120,0.0003,3.1302
5248,0.0003,3.122
5376,0.0003,3.1137
5504,0.0003,3.1058
5632,0.0003,3.099
5760,0.0003,3.0919
5888,0.0003,3.0872
6016,0.0003,3.0879
6144,0.0003,3.0747
6272,0.0003,3.0684
6400,0.0003,3.0622
6528,0.0003,3.0604
6656,0.0003,3.0528
6784,0.0003,3.0478
6912,0.0003,3.0424
7040,0.0003,3.0385
7168,0.0003,3.0336
7296,0.0003,3.0275
7424,0.0003,3.0258
7552,0.0003,3.0216
7680,0.0003,3.0162
7808,0.0003,3.0131
7936,0.0003,3.0084
8000,9e-05,3.0059
8128,9e-05,2.9585
8256,9e-05,2.9393
8384,9e-05,2.9298
8512,9e-05,2.9233
8640,9e-05,2.9178
8768,9e-05,2.9132
8896,9e-05,2.9098
9024,9e-05,2.906
9152,9e-05,2.9027
9280,9e-05,2.8998
9408,9e-05,2.8972
9536,9e-05,2.8946
9664,9e-05,2.8918
9792,9e-05,2.8897
9920,9e-05,2.8878
10048,9e-05,2.8857
10176,9e-05,2.884
10304,9e-05,2.8818
10432,9e-05,2.8802
10560,9e-05,2.8785
10688,9e-05,2.8766
10816,9e-05,2.875
10944,9e-05,2.8734
11072,9e-05,2.8719
11200,9e-05,2.8703
11328,9e-05,2.8689
11456,9e-05,2.8673
11584,9e-05,2.8659
11712,9e-05,2.8646
11840,9e-05,2.863
11968,9e-05,2.8624
12096,9e-05,2.8608
12224,9e-05,2.8594
12352,9e-05,2.8583
12480,9e-05,2.8567
12608,9e-05,2.8561
12736,9e-05,2.8547
12864,9e-05,2.8534
12992,9e-05,2.8522
13120,9e-05,2.851
13248,9e-05,2.8498
13376,9e-05,2.8491
13504,9e-05,2.8479
13632,9e-05,2.8466
13760,9e-05,2.8455
13888,9e-05,2.8448
14016,9e-05,2.8435
14144,9e-05,2.8425
14272,9e-05,2.8417
14400,9e-05,2.8409
14528,9e-05,2.8395
14656,9e-05,2.8382
14784,9e-05,2.8376
14912,9e-05,2.837
15040,9e-05,2.8366
15168,9e-05,2.8357
15296,9e-05,2.8343
15424,9e-05,2.8332
15552,9e-05,2.8324
15680,9e-05,2.8315
15808,9e-05,2.8309
15936,9e-05,2.83
