run,full_run_name,n_points,mae,mse,r2,endpoint_true,endpoint_pred,endpoint_diff,endpoint_abs_diff
cosine,M:100M_gpt_D:20B_scheduler:cosine_rope,16454,0.03233179961127717,0.0016333224493314366,0.95310874426525,2.712563991546631,2.6722459963195067,-0.040317995227124204,0.040317995227124204
wsd,M:100M_gpt_D:20B_scheduler:wsd_rope,16454,0.037215879089173884,0.002178264905710446,0.9281796443779885,2.703669548034668,2.6585654415662447,-0.04510410646842322,0.04510410646842322
