step,lr,loss
33792,0.0003,2.9993
33920,0.0003,2.9995
34048,0.0003,2.9983
34176,0.0003,2.9983
34304,0.0003,2.9976
34432,0.0003,2.9972
34560,0.0003,2.9972
34688,0.0003,2.9971
34816,0.0003,2.9968
34944,0.0003,2.9956
35072,0.0003,2.9955
35200,0.0003,2.9953
35328,0.0003,2.9956
35456,0.0003,2.9953
35584,0.0003,2.9954
35712,0.0003,2.9947
35840,0.0003,2.9945
35968,0.0003,2.9941
36096,0.0003,2.993
36224,0.0003,2.9944
36352,0.0003,2.9926
36480,0.0003,2.9941
36608,0.0003,2.9933
36736,0.0003,2.992
36864,0.0003,2.9909
36992,0.0003,2.9911
37120,0.0003,2.9912
37248,0.0003,2.9903
37376,0.0003,2.9912
37504,0.0003,2.9913
37632,0.0003,2.99
37760,0.0003,2.9901
37888,0.0003,2.9893
38016,0.0003,2.9893
38144,0.0003,2.9888
38272,0.0003,2.9888
38400,0.0003,2.9879
38528,0.0003,2.9883
38656,0.0003,2.9869
38784,0.0003,2.9872
38912,0.0003,2.987
39040,0.0003,2.9863
39168,0.0003,2.9872
39296,0.0003,2.9864
39424,0.0003,2.9856
39552,0.0003,2.9859
39680,0.0003,2.9862
39808,0.0003,2.986
39936,0.0003,2.9849
40064,0.0003,2.9842
40192,0.0003,2.9843
40320,0.0003,2.9846
40448,0.0003,2.9841
40576,0.0003,2.9825
40704,0.0003,2.983
40832,0.0003,2.9828
40960,0.0003,2.9819
41088,0.0003,2.9827
41216,0.0003,2.9819
41344,0.0003,2.9824
41472,0.0003,2.9817
41600,0.0003,2.9821
41728,0.0003,2.9822
41856,0.0003,2.9815
41984,0.0003,2.9806
42112,0.0003,2.9803
42240,0.0003,2.9803
42368,0.0003,2.9797
42496,0.0003,2.9792
42624,0.0003,2.9799
42752,0.0003,2.9789
42880,0.0003,2.979
43008,0.0003,2.9797
43136,0.0003,2.98
43264,0.0003,2.9778
43392,0.0003,2.978
43520,0.0003,2.9778
43648,0.0003,2.9775
43776,0.0003,2.9786
43904,0.0003,2.9776
44032,0.0003,2.9766
44160,0.0003,2.9757
44288,0.0003,2.9763
44416,0.0003,2.9759
44544,0.0003,2.9757
44672,0.0003,2.9756
44800,0.0003,2.9748
44928,0.0003,2.975
45056,0.0003,2.9746
45184,0.0003,2.9745
45312,0.0003,2.9742
45440,0.0003,2.974
45568,0.0003,2.9733
45696,0.0003,2.975
45824,0.0003,2.9726
45952,0.0003,2.9732
46080,0.0003,2.9742
46208,0.0003,2.9733
46336,0.0003,2.9729
46464,0.0003,2.9726
46592,0.0003,2.972
46720,0.0003,2.9738
46848,0.0003,2.9719
46976,0.0003,2.9722
47104,0.0003,2.9715
47232,0.0003,2.9707
47360,0.0003,2.9715
47488,0.0003,2.9722
47616,0.0003,2.971
47744,0.0003,2.9697
47872,0.0003,2.9697
48000,0.0003,2.9701
48128,0.0003,2.9705
48256,0.0003,2.9699
48384,0.0003,2.9719
48512,0.0003,2.9694
48640,0.0003,2.9683
48768,0.0003,2.9696
48896,0.0003,2.9687
49024,0.0003,2.9688
49152,0.0003,2.9676
49280,0.0003,2.9673
49408,0.0003,2.9675
49536,0.0003,2.9673
49664,0.0003,2.9688
49792,0.0003,2.967
49920,0.0003,2.9665
50048,0.0003,2.9661
50176,0.0003,2.966
50304,0.0003,2.966
50432,0.0003,2.9651
50560,0.0003,2.9657
