step,lr,loss
2176,0.0003,3.5581
2304,0.0003,3.5306
2432,0.0003,3.4758
2560,0.0003,3.4428
2688,0.0003,3.4142
2816,0.0003,3.3857
2944,0.0003,3.3619
3072,0.0003,3.3367
3200,0.0003,3.3178
3328,0.0003,3.2977
3456,0.0003,3.2795
3584,0.0003,3.2629
3712,0.0003,3.2488
3840,0.0003,3.2402
3968,0.0003,3.224
4096,0.0003,3.2116
4224,0.0003,3.1991
4352,0.0003,3.187
4480,0.0003,3.1761
4608,0.0003,3.1663
4736,0.0003,3.1553
4864,0.0003,3.1482
4992,0.0003,3.1371
5120,0.0003,3.1302
5248,0.0003,3.122
5376,0.0003,3.1137
5504,0.0003,3.1058
5632,0.0003,3.099
5760,0.0003,3.0919
5888,0.0003,3.0872
6016,0.0003,3.0879
6144,0.0003,3.0747
6272,0.0003,3.0684
6400,0.0003,3.0622
6528,0.0003,3.0604
6656,0.0003,3.0528
6784,0.0003,3.0478
6912,0.0003,3.0424
7040,0.0003,3.0385
7168,0.0003,3.0336
7296,0.0003,3.0275
7424,0.0003,3.0258
7552,0.0003,3.0216
7680,0.0003,3.0162
7808,0.0003,3.0131
7936,0.0003,3.0084
8000,0.00018,3.0059
8128,0.00018,2.9723
8256,0.00018,2.96
8384,0.00018,2.9532
8512,0.00018,2.9476
8640,0.00018,2.9434
8768,0.00018,2.9395
8896,0.00018,2.9371
9024,0.00018,2.9333
9152,0.00018,2.93
9280,0.00018,2.9278
9408,0.00018,2.9242
9536,0.00018,2.9222
9664,0.00018,2.9194
9792,0.00018,2.9174
9920,0.00018,2.9157
10048,0.00018,2.9134
10176,0.00018,2.9118
10304,0.00018,2.9094
10432,0.00018,2.9079
10560,0.00018,2.9059
10688,0.00018,2.9038
10816,0.00018,2.9021
10944,0.00018,2.9
11072,0.00018,2.8985
11200,0.00018,2.8971
11328,0.00018,2.8952
11456,0.00018,2.8933
11584,0.00018,2.8914
11712,0.00018,2.8906
11840,0.00018,2.8879
11968,0.00018,2.8884
12096,0.00018,2.8858
12224,0.00018,2.8842
12352,0.00018,2.8828
12480,0.00018,2.8808
12608,0.00018,2.8803
12736,0.00018,2.8787
12864,0.00018,2.8779
12992,0.00018,2.8755
13120,0.00018,2.8749
13248,0.00018,2.8729
13376,0.00018,2.8721
13504,0.00018,2.8714
13632,0.00018,2.8698
13760,0.00018,2.8681
13888,0.00018,2.8675
14016,0.00018,2.8659
14144,0.00018,2.8645
14272,0.00018,2.8635
14400,0.00018,2.8631
14528,0.00018,2.8612
14656,0.00018,2.8595
14784,0.00018,2.8586
14912,0.00018,2.8587
15040,0.00018,2.8573
15168,0.00018,2.8571
15296,0.00018,2.8548
15424,0.00018,2.854
15552,0.00018,2.8526
15680,0.00018,2.8512
15808,0.00018,2.8506
15936,0.00018,2.8506
