target_schedule,window,n,block_size,mean_abs_error_improvement_vs_step_reference,q05,q50,q95,prob_positive
wsd,full,16454,128,0.005363116007114544,0.004638394961690915,0.005374042918116249,0.006058356475167037,1.0
wsd,full,16454,512,0.005363116007114544,0.004258180387587527,0.005589182556154192,0.007113122723165893,1.0
wsd,full,16454,2048,0.005363116007114544,0.0033065993001330043,0.006309346600976104,0.009137817396843797,1.0
wsd,pre_tail_1000_27125,13063,128,0.005540033758552562,0.004651590974565064,0.005543326547825408,0.006238738360331091,1.0
wsd,pre_tail_1000_27125,13063,512,0.005540033758552562,0.003712181349984686,0.0054840614625755665,0.007071798504450753,1.0
wsd,pre_tail_1000_27125,13063,2048,0.005540033758552562,0.0017325597660292095,0.004866074839201324,0.007842568914591615,1.0
wsd,tail_27126_33906,3391,128,0.004681583542639509,0.0027018303924085485,0.004464054561335858,0.006315915279481695,1.0
wsd,tail_27126_33906,3391,512,0.004681583542639509,0.001285788118350877,0.00375436673111609,0.007193565669262529,1.0
wsd,tail_27126_33906,3391,2048,0.004681583542639509,0.0016563727281949845,0.004547137618532443,0.006966551709257355,1.0
wsd,early_decay_27126_30000,1438,128,0.010467472054070927,0.008873607588580835,0.010488298990451724,0.012760025594062812,1.0
wsd,early_decay_27126_30000,1438,512,0.010467472054070927,0.007561461543650305,0.010740519585148166,0.013928240934256304,1.0
wsd,early_decay_27126_30000,1438,1438,0.010467472054070927,0.010467472054070927,0.010467472054070927,0.010467472054070927,1.0
wsd,endpoint_30000_33906,1954,128,0.0004226947651410286,4.584031442846935e-05,0.00036532804361793863,0.0007554734175825965,0.9916666666666667
wsd,endpoint_30000_33906,1954,512,0.0004226947651410286,-9.890897469059195e-05,0.00031148280367962466,0.000749931367341752,0.9
wsd,endpoint_30000_33906,1954,1954,0.0004226947651410286,0.0004226947651410286,0.0004226947651410286,0.0004226947651410286,1.0
wsd,last_2048_sampled,2048,128,0.000562750214506396,0.00017481454920995594,0.0005003668905805119,0.0009076640996584237,0.9916666666666667
wsd,last_2048_sampled,2048,512,0.000562750214506396,-0.00011966598339341196,0.00030582521810731077,0.0009618646519111974,0.825
wsd,last_2048_sampled,2048,2048,0.000562750214506396,0.000562750214506396,0.000562750214506396,0.000562750214506396,1.0
wsd,last_512_sampled,512,128,-0.0001876584792428384,-0.00048690197721672494,-0.0002700605562077087,-8.998623808917067e-05,0.0
wsd,last_512_sampled,512,512,-0.0001876584792428384,-0.0001876584792428384,-0.0001876584792428384,-0.0001876584792428384,0.0
wsd,last_512_sampled,512,512,-0.0001876584792428384,-0.0001876584792428384,-0.0001876584792428384,-0.0001876584792428384,0.0
