method,correction,feature_set,schedule,window,n,mae,rmse,mape,r2
momentum_reproduced,none,none,cosine,full,16454,0.03233179961127716,0.04041438418844752,0.011488261428455016,0.95310874426525
momentum_reproduced,none,none,cosine,steps_20000_30000,5001,0.0320135037276898,0.04000060525076622,0.011811257204924815,0.22918249418493386
momentum_reproduced,none,none,wsd,full,16454,0.03721587908917389,0.046671885602688534,0.013198068815313498,0.9281796443779885
momentum_reproduced,none,none,wsd,steps_20000_30000,5001,0.04260842918051691,0.052675192409064285,0.015504880796470229,-0.20958642316584886
momentum_reproduced,mean_shift,constant_residual,cosine,full,16454,0.03234177995461597,0.04040864951184772,0.011487624510423122,0.953122050770541
momentum_reproduced,mean_shift,constant_residual,cosine,steps_20000_30000,5001,0.032065256727608425,0.04004949003990981,0.01182592036972203,0.22729730889058875
momentum_reproduced,mean_shift,constant_residual,wsd,full,16454,0.03686171219066781,0.046243021607649364,0.013067872906286396,0.9294934824454946
momentum_reproduced,mean_shift,constant_residual,wsd,steps_20000_30000,5001,0.042004139130988445,0.052025626762886336,0.015283939596588495,-0.17993826151186676
momentum_reproduced,smooth_residual,spline_s0.5_shrink1,cosine,full,16454,0.012888663331501491,0.015625160442704896,0.004559950889074725,0.9929907927286453
momentum_reproduced,smooth_residual,spline_s0.5_shrink1,cosine,steps_20000_30000,5001,0.012596047305614982,0.01518414035532677,0.004646146948984118,0.8889294652287764
momentum_reproduced,smooth_residual,spline_s0.5_shrink1,wsd,full,16454,0.02349440063317316,0.02837148907381476,0.008343159552414138,0.973459987857383
momentum_reproduced,smooth_residual,spline_s0.5_shrink1,wsd,steps_20000_30000,5001,0.03546200305524578,0.038739430518524645,0.012824775028741622,0.3457690185125937
momentum_reproduced,smooth_residual,spline_s0.1_shrink0.75,cosine,full,16454,0.010505341759177165,0.01281244227776274,0.0037268848745083062,0.9952871482828697
momentum_reproduced,smooth_residual,spline_s0.1_shrink0.75,cosine,steps_20000_30000,5001,0.010229212849940043,0.012498825652633702,0.0037735936031874015,0.9247412736879842
momentum_reproduced,smooth_residual,spline_s0.1_shrink0.75,wsd,full,16454,0.02225058965141425,0.026661990294286286,0.00794058797119081,0.9765619223547778
momentum_reproduced,smooth_residual,spline_s0.1_shrink0.75,wsd,steps_20000_30000,5001,0.03504838326312947,0.03718130790485186,0.012699473601391276,0.3973377794306838
momentum_reproduced,smooth_residual,spline_s0.1_shrink1,cosine,full,16454,0.005485072394428564,0.007000756731519772,0.001938375750843156,0.9985929487860328
momentum_reproduced,smooth_residual,spline_s0.1_shrink1,cosine,steps_20000_30000,5001,0.0050943353412840845,0.006482381205245988,0.0018794272394139751,0.9797564079278764
momentum_reproduced,smooth_residual,spline_s0.1_shrink1,wsd,full,16454,0.02065677018411073,0.024735378474014056,0.007360119862129784,0.9798268379884788
momentum_reproduced,smooth_residual,spline_s0.1_shrink1,wsd,steps_20000_30000,5001,0.035470822068959754,0.03629288455439315,0.012799399789327504,0.42579414479580513
