coordinate,coordinate_group,config,target_schedule,window,n,residual_mae,residual_rmse,residual_corr,residual_spearman,sign_agreement,signed_bias,true_residual_std,pred_residual_std,step_residual_mae,step_residual_corr,step_sign_agreement,residual_mae_gap_vs_step,residual_corr_gap_vs_step,sign_agreement_gap_vs_step
step_abs,control_step,interp_raw_shrink1_clip0.15,811,full,16454,0.005788640016143278,0.007448944913813159,0.9212859972593567,0.9145076251908346,0.8513431384465784,0.004548494979691726,0.015128034008658621,0.014370124645273099,0.005788640016143278,0.9212859972593567,0.8513431384465784,0.0,0.0,0.0
sqrt_cum_lr2,sujianlin_noise,interp_roll501_shrink1_clip0.15,811,full,16454,0.012303343412207755,0.015497534214288082,0.1269326328519574,0.1324640851752523,0.6120092378752887,0.0037544563619472276,0.015128034008658621,0.0009675936143922398,0.005788640016143278,0.9212859972593567,0.8513431384465784,0.006514703396064477,-0.7943533644073992,-0.23933390057128967
s1_raw,control_s1,interp_roll501_shrink1_clip0.15,811,full,16454,0.01237935784130215,0.015593926710981035,0.07954183896971619,0.08373877918468474,0.5848425914671205,0.003968751455711049,0.015128034008658621,0.001102772606813109,0.005788640016143278,0.9212859972593567,0.8513431384465784,0.006590717825158872,-0.8417441582896404,-0.2665005469794579
effective_update_hl4096_epslr2_1e-06,sujianlin_update_rms,interp_roll501_shrink1_clip0.15,811,full,16454,0.012413434510495789,0.015639303393000625,0.05343979381308943,0.052481739492429284,0.5746930837486326,0.0040345534989658155,0.015128034008658621,0.0011345515162211883,0.005788640016143278,0.9212859972593567,0.8513431384465784,0.006624794494352511,-0.8678462034462673,-0.2766500546979458
softsign_lr_time_hl4096_epslr_1e-03,sujianlin_softsign,interp_roll501_shrink1_clip0.15,811,full,16454,0.012417598599921548,0.015646302014699697,0.04976654698882019,0.05002969032698363,0.5744499817673514,0.004045548528977609,0.015128034008658621,0.0011397861919855336,0.005788640016143278,0.9212859972593567,0.8513431384465784,0.00662895858377827,-0.8715194502705365,-0.276893156679227
effective_update_hl512_epslr2_1e-06,sujianlin_update_rms,interp_roll501_shrink1_clip0.15,811,full,16454,0.01242488025768867,0.01566146564722879,0.04274656387881581,0.0427768335475544,0.5686763097119242,0.004073069799517053,0.015128034008658621,0.001149045489455082,0.005788640016143278,0.9212859972593567,0.8513431384465784,0.006636240241545392,-0.8785394333805409,-0.2826668287346542
effective_update_hl64_epslr2_1e-06,sujianlin_update_rms,interp_roll501_shrink1_clip0.15,811,full,16454,0.012428240676281494,0.01566568991602361,0.04025833930806074,0.03942327318831997,0.5693448401604473,0.004078481858208113,0.015128034008658621,0.0011506292620631204,0.005788640016143278,0.9212859972593567,0.8513431384465784,0.0066396006601382165,-0.8810276579512959,-0.2819982982861311
softsign_lr_time_hl512_epslr_1e-03,sujianlin_softsign,interp_roll501_shrink1_clip0.15,811,full,16454,0.012443299337720528,0.015683187712313362,0.03226513657650192,0.03060887294440814,0.5620517807220129,0.004109250541181402,0.015128034008658621,0.0011643279762308255,0.005788640016143278,0.9212859972593567,0.8513431384465784,0.00665465932157725,-0.8890208606828548,-0.2892913577245655
softsign_lr_time_hl64_epslr_1e-03,sujianlin_softsign,interp_roll501_shrink1_clip0.15,811,full,16454,0.012446855170497966,0.01568879694253338,0.029794524255247815,0.026751382700428202,0.5616871277500911,0.004119480230657389,0.015128034008658621,0.0011676558785105636,0.005788640016143278,0.9212859972593567,0.8513431384465784,0.006658215154354688,-0.8914914730041088,-0.2896560106964873
softsign_lr_time_hl4096_epslr_1e-04,sujianlin_softsign,interp_roll501_shrink1_clip0.15,811,full,16454,0.012455360913300555,0.01570083642707126,0.025310514154845466,0.024191567480653806,0.5568858636197885,0.004143691030891892,0.015128034008658621,0.0011799474426463106,0.005788640016143278,0.9212859972593567,0.8513431384465784,0.006666720897157277,-0.8959754831045112,-0.29445727482678985
effective_update_hl4096_epslr2_1e-08,sujianlin_update_rms,interp_roll501_shrink1_clip0.15,811,full,16454,0.012464016172819569,0.015711565809861508,0.022084076844279286,0.01954704757712826,0.5531177829099307,0.004168564181536467,0.015128034008658621,0.001188825543973853,0.005788640016143278,0.9212859972593567,0.8513431384465784,0.006675376156676291,-0.8992019204150774,-0.29822535553664764
softsign_lr_time_hl4096_epslr_1e-05,sujianlin_softsign,interp_roll501_shrink1_clip0.15,811,full,16454,0.012464132129947009,0.015712044084624684,0.021973838470346983,0.018334393421772198,0.5536647623678133,0.0041697784217916535,0.015128034008658621,0.0011893736979995278,0.005788640016143278,0.9212859972593567,0.8513431384465784,0.006675492113803731,-0.8993121587890097,-0.29767837607876513
effective_update_hl4096_epslr2_1e-10,sujianlin_update_rms,interp_roll501_shrink1_clip0.15,811,full,16454,0.012465082577299452,0.015711718013365555,0.02309163063017212,0.018912155766878394,0.553603986872493,0.00417311624557768,0.015128034008658621,0.001190641198267813,0.005788640016143278,0.9212859972593567,0.8513431384465784,0.006676442561156174,-0.8981943666291845,-0.29773915157408537
effective_update_hl4096_epslr2_1e-12,sujianlin_update_rms,interp_roll501_shrink1_clip0.15,811,full,16454,0.012465228905264853,0.01571186703811047,0.022992708724270294,0.018847707371178034,0.5531177829099307,0.004173231973994672,0.015128034008658621,0.0011907322031676937,0.005788640016143278,0.9212859972593567,0.8513431384465784,0.006676588889121575,-0.8982932885350864,-0.29822535553664764
effective_update_hl4096_epslr2_0,sujianlin_update_rms,interp_roll501_shrink1_clip0.15,811,full,16454,0.012465230413793525,0.015711868661975173,0.022991371294680225,0.018932177469444048,0.5531177829099307,0.004173232135465781,0.015128034008658621,0.0011907330910201988,0.005788640016143278,0.9212859972593567,0.8513431384465784,0.0066765903976502465,-0.8982946259646765,-0.29822535553664764
softsign_lr_time_hl4096_epslr_0,sujianlin_softsign,interp_roll501_shrink1_clip0.15,811,full,16454,0.012465230413793525,0.015711868661975173,0.022991371294680225,0.018932177469444048,0.5531177829099307,0.004173232135465781,0.015128034008658621,0.0011907330910201988,0.005788640016143278,0.9212859972593567,0.8513431384465784,0.0066765903976502465,-0.8982946259646765,-0.29822535553664764
noise_ratio_eps1e-12,sujianlin_noise,interp_roll501_shrink1_clip0.15,811,full,16454,0.012520224659223601,0.015781013943564424,-0.01384210652686614,-0.026208079351179005,0.5374377051172967,0.004267765706684435,0.015128034008658621,0.0012094033761707894,0.005788640016143278,0.9212859972593567,0.8513431384465784,0.006731584643080323,-0.9351281037862228,-0.31390543332928167
noise_ratio_eps1e-04,sujianlin_noise,interp_roll501_shrink1_clip0.15,811,full,16454,0.012520226147812057,0.01578101543353264,-0.013843304309776153,-0.026209200522040545,0.5374377051172967,0.00426776625311496,0.015128034008658621,0.0012094028593077966,0.005788640016143278,0.9212859972593567,0.8513431384465784,0.006731586131668779,-0.9351293015691329,-0.31390543332928167
noise_ratio_eps1e-02,sujianlin_noise,interp_roll501_shrink1_clip0.15,811,full,16454,0.012520389361716296,0.01578117655111125,-0.01396876768718871,-0.02633052624657263,0.5371946031360155,0.0042678192765321895,0.015128034008658621,0.0012094175384977919,0.005788640016143278,0.9212859972593567,0.8513431384465784,0.006731749345573018,-0.9352547649465454,-0.31414853531056286
noise_ratio_eps1e00,sujianlin_noise,interp_roll501_shrink1_clip0.15,811,full,16454,0.012520788578425417,0.015782200680128342,-0.014655415140191672,-0.027351389309770213,0.5369515011547344,0.004268375588109443,0.015128034008658621,0.0012102733336346774,0.005788640016143278,0.9212859972593567,0.8513431384465784,0.006732148562282139,-0.9359414123995483,-0.31439163729184394
