sample_end,method,correction,feature_set,schedule,eval_scope,n_train_points,n_eval_points,eval_step_start,eval_step_end,endpoint_true,endpoint_pred,endpoint_diff,endpoint_abs_diff,mae,rmse,mape,r2
2000,momentum_wsd_partial,none,none,wsd,future_after_sample_end,1001,31907,2001,33907,2.635731935501098,2.1500366522640073,-0.4856952832370909,0.4856952832370909,0.19300531255342032,0.2157842813235435,0.06927569682807955,-2.036645416767813
2000,momentum_wsd_partial,smooth_residual_prefix,prefix_spline_s0.1_shrink1_clip0.25,wsd,future_after_sample_end,1001,31907,2001,33907,2.635731935501098,2.7607017083172085,0.12496977281611032,0.12496977281611032,0.9290340445979202,0.9644367502955259,0.3270475996382336,-59.65993966500645
4000,momentum_wsd_partial,none,none,wsd,future_after_sample_end,3001,29907,4001,33907,2.635731935501098,1.885684302101888,-0.7500476333992101,0.7500476333992101,0.13466579045070504,0.24734761627389829,0.04941208179539733,-6.2567650983880005
4000,momentum_wsd_partial,smooth_residual_prefix,prefix_spline_s0.1_shrink1_clip0.25,wsd,future_after_sample_end,3001,29907,4001,33907,2.635731935501098,2.4212665717479096,-0.2144653637531886,0.2144653637531886,0.6592327641045507,0.6983100019506564,0.23309243649416772,-56.83944692978944
6000,momentum_wsd_partial,none,none,wsd,future_after_sample_end,5001,27907,6001,33907,2.635731935501098,1.9337583585416225,-0.7019735769594757,0.7019735769594757,0.12289366459629403,0.2338932898937061,0.04533780728523902,-7.580889931932866
6000,momentum_wsd_partial,smooth_residual_prefix,prefix_spline_s0.1_shrink1_clip0.25,wsd,future_after_sample_end,5001,27907,6001,33907,2.635731935501098,2.48299488209981,-0.1527370534012884,0.1527370534012884,0.6873141938554024,0.7315716061769465,0.24423823364675157,-82.94802603348185
8000,momentum_wsd_partial,none,none,wsd,future_after_sample_end,7001,25907,8001,33907,2.635731935501098,1.94133431713766,-0.6943976183634382,0.6943976183634382,0.1287713585405236,0.2393785731542622,0.047580213412625035,-9.617734170883447
8000,momentum_wsd_partial,smooth_residual_prefix,prefix_spline_s0.1_shrink1_clip0.25,wsd,future_after_sample_end,7001,25907,8001,33907,2.635731935501098,1.5119126863902006,-1.1238192491108976,1.1238192491108976,0.6912508846132468,0.7099345513023593,0.24896997095182039,-92.38947331814158
10000,momentum_wsd_partial,none,none,wsd,future_after_sample_end,9001,23907,10001,33907,2.635731935501098,1.940209840015996,-0.6955220954851022,0.6955220954851022,0.13691441429814444,0.24937946374053405,0.050651350395495426,-11.872347858584872
10000,momentum_wsd_partial,smooth_residual_prefix,prefix_spline_s0.1_shrink1_clip0.25,wsd,future_after_sample_end,9001,23907,10001,33907,2.635731935501098,2.4912787482881953,-0.1444531872129029,0.1444531872129029,0.6703290410859272,0.7212316172683332,0.23970064802824498,-106.66781710926637
12000,momentum_wsd_partial,none,none,wsd,future_after_sample_end,11001,21907,12001,33907,2.635731935501098,1.9385192389612875,-0.6972126965398107,0.6972126965398107,0.1468614266503702,0.26099839052362434,0.05438469071317935,-14.080364491752356
12000,momentum_wsd_partial,smooth_residual_prefix,prefix_spline_s0.1_shrink1_clip0.25,wsd,future_after_sample_end,11001,21907,12001,33907,2.635731935501098,2.4891079735644706,-0.14662396193662763,0.14662396193662763,0.6559872332048059,0.7106389989414404,0.23511924999825226,-110.79805673494428
14000,momentum_wsd_partial,none,none,wsd,future_after_sample_end,13001,19907,14001,33907,2.635731935501098,1.936638779914212,-0.6990931555868862,0.6990931555868862,0.15873828835227305,0.27438564731347376,0.05883869382066081,-16.50655459467528
14000,momentum_wsd_partial,smooth_residual_prefix,prefix_spline_s0.1_shrink1_clip0.25,wsd,future_after_sample_end,13001,19907,14001,33907,2.635731935501098,1.5082557983236384,-1.1274761371774598,1.1274761371774598,0.7127306529871783,0.7349851256935682,0.25878985791631093,-124.61311975590753
16000,momentum_wsd_partial,none,none,wsd,future_after_sample_end,15001,17907,16001,33907,2.635731935501098,1.9349351422854733,-0.7007967932156249,0.7007967932156249,0.17320530456575256,0.2898382007771423,0.06425795441065563,-19.159016099309717
16000,momentum_wsd_partial,smooth_residual_prefix,prefix_spline_s0.1_shrink1_clip0.25,wsd,future_after_sample_end,15001,17907,16001,33907,2.635731935501098,2.484505902336859,-0.15122603316423922,0.15122603316423922,0.6185680268544081,0.6828329282015764,0.2226130093920522,-110.88889719080436
18000,momentum_wsd_partial,none,none,wsd,future_after_sample_end,17001,15907,18001,33907,2.635731935501098,1.9326313149117744,-0.7031006205893238,0.7031006205893238,0.19157388453948687,0.30841272582373985,0.07112808441860345,-22.263421492854476
18000,momentum_wsd_partial,smooth_residual_prefix,prefix_spline_s0.1_shrink1_clip0.25,wsd,future_after_sample_end,17001,15907,18001,33907,2.635731935501098,1.5051347814416087,-1.1305971540594895,1.1305971540594895,0.7391947186281348,0.7639320988125547,0.26972411443611116,-141.73107180138135
20000,momentum_wsd_partial,none,none,wsd,future_after_sample_end,19001,13907,20001,33907,2.635731935501098,1.931258094421928,-0.7044738410791702,0.7044738410791702,0.21490175127384592,0.33027705530479623,0.07985237310276266,-26.17870264264296
20000,momentum_wsd_partial,smooth_residual_prefix,prefix_spline_s0.1_shrink1_clip0.25,wsd,future_after_sample_end,19001,13907,20001,33907,2.635731935501098,1.5040653162487867,-1.1316666192523115,1.1316666192523115,0.7577813075373644,0.7836519809138074,0.2772522083922911,-152.00949645753556
