family,target_schedule,window,n,target_step_median,equiv_cosine_step_median,median_step_warp,median_abs_step_warp,q10_step_warp,q90_step_warp,q90_abs_step_warp,outside_support_frac,window_mae,residual_alignment_corr,verdict
s1_clamp,811,full,16454,17453.0,25571.54114557738,-3001.9952773717905,3001.9952773717905,-12317.438140179569,-50.416991835458106,12317.43814017957,0.0,0.03661838691255314,-0.03391315616437149,large_phase_warp
s1_ratio,811,full,16454,17453.0,12611.543090652693,2953.2739049581432,2953.2739049581432,-422.61335727404213,4860.617943860644,4860.617943860644,0.01610550625987602,0.04295554263695613,-0.02329866965894552,large_phase_warp
s1_raw,811,full,16454,17453.0,25571.54114557738,-3001.9952773717905,3001.9952773717905,-12317.438140179569,-50.416991835458106,12317.43814017957,0.4636562537984685,0.23455319842486033,-0.12291599718663652,large_phase_warp
step_abs,811,full,16454,17453.0,17453.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033207063538535815,0.372930501107507,step_reference_no_warp
s1_clamp,811,last_2048_sampled,2048,31859.0,33906.0,-2047.0,2047.0,-3684.6,-409.4000000000001,3684.6,0.0,0.03218131908916501,,large_phase_warp
s1_ratio,811,last_2048_sampled,2048,31859.0,32583.18329118074,-708.2999617507212,708.2999617507212,-1126.3690160527701,-141.97868641626633,1126.3690160527701,0.0,0.03285982608820434,0.030714082291052325,small_or_moderate_phase_warp
s1_raw,811,last_2048_sampled,2048,31859.0,33906.0,-2047.0,2047.0,-3684.6,-409.4000000000001,3684.6,1.0,0.4276694140166477,,large_phase_warp
step_abs,811,last_2048_sampled,2048,31859.0,31859.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029797790330936363,0.4281846963033557,step_reference_no_warp
s1_clamp,811,steps_10000_20000,5001,15000.0,18537.55233070463,-3537.5523307046315,3537.5523307046315,-14358.0,-1061.367700402181,14358.0,0.0,0.036138971444044134,-0.024872829944932364,large_phase_warp
s1_ratio,811,steps_10000_20000,5001,15000.0,10516.412778983522,4483.587221016478,4483.587221016478,3551.983753923493,4936.748943686685,4936.748943686685,0.0,0.03546558934533237,-0.007303114369999468,large_phase_warp
s1_raw,811,steps_10000_20000,5001,15000.0,18537.55233070463,-3537.5523307046315,3537.5523307046315,-14358.0,-1061.367700402181,14358.0,0.13517296540691862,0.09596517578519537,-0.0746116759025347,large_phase_warp
step_abs,811,steps_10000_20000,5001,15000.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03258259973054149,0.4094956202742064,step_reference_no_warp
s1_clamp,811,steps_1000_10000,4501,5500.0,5612.318341373774,-112.31834137377427,112.31834137377427,-557.1832049618188,-4.443779498189997,557.1832049618188,0.0,0.032904203331354395,0.09225339685302418,small_or_moderate_phase_warp
s1_ratio,811,steps_1000_10000,4501,5500.0,3624.4287245576684,1875.5712754423316,1875.5712754423316,657.4502764647477,3010.307554859368,3010.307554859368,0.05887580537658298,0.05812386111799342,0.04087746866441196,small_or_moderate_phase_warp
