block_size,selection_mode,n_replicates,train_unique_fraction_mean,train_unique_fraction_std,train_unique_fraction_q05,train_unique_fraction_q50,train_unique_fraction_q95,selected_shrink_mean,selected_shrink_std,selected_shrink_q05,selected_shrink_q50,selected_shrink_q95,validation_mae_mean,validation_mae_std,validation_mae_q05,validation_mae_q50,validation_mae_q95,validation_r2_mean,validation_r2_std,validation_r2_q05,validation_r2_q50,validation_r2_q95,validation_endpoint_abs_diff_mean,validation_endpoint_abs_diff_std,validation_endpoint_abs_diff_q05,validation_endpoint_abs_diff_q50,validation_endpoint_abs_diff_q95,validation_improvement_pct_mean,validation_improvement_pct_std,validation_improvement_pct_q05,validation_improvement_pct_q50,validation_improvement_pct_q95,test_mae_mean,test_mae_std,test_mae_q05,test_mae_q50,test_mae_q95,test_r2_mean,test_r2_std,test_r2_q05,test_r2_q50,test_r2_q95,test_endpoint_abs_diff_mean,test_endpoint_abs_diff_std,test_endpoint_abs_diff_q05,test_endpoint_abs_diff_q50,test_endpoint_abs_diff_q95,test_improvement_pct_mean,test_improvement_pct_std,test_improvement_pct_q05,test_improvement_pct_q50,test_improvement_pct_q95,n_iter_mean,n_iter_std,n_iter_q05,n_iter_q50,n_iter_q95,loss_curve_final_mean,loss_curve_final_std,loss_curve_final_q05,loss_curve_final_q50,loss_curve_final_q95
128,fixed_shrink_1p0,50,0.6333918803938253,0.01295129563759799,0.6143779628053968,0.634116324298043,0.6525905554880272,1.0,0.0,1.0,1.0,1.0,0.034893800931574154,0.0009997654978152427,0.03392171400811911,0.03462543955648912,0.03748553440383077,0.9387834193215892,0.0036330770323054007,0.929341954383754,0.9396983861573462,0.942212242355198,0.016762203470070753,0.011619552581157213,0.002118285277915355,0.015007038797206995,0.04079746939247868,2.5971637691605123,2.7907534419624116,-4.6374218653259245,3.3462698673854927,5.310655016305117,0.03420424324632178,0.001157487293810885,0.032933272977439816,0.03389262091074101,0.036422863372487964,0.9391135885561621,0.004262649885945731,0.9309658365978902,0.9401891868980501,0.9437925176792674,0.0063012833121025395,0.0046495918093771346,0.0010424519819460577,0.0050210604881753,0.01517161508588194,9.618319433657573,3.058557562447039,3.7558124313202343,10.441753830055944,12.976745697444606,113.98,11.56611871116738,85.7,120.0,120.0,0.4985975427003867,0.0005964929566516485,0.49762378274547314,0.49863576502725515,0.49935672003471504
128,validation_selected,50,0.6333918803938253,0.01295129563759799,0.6143779628053968,0.634116324298043,0.6525905554880272,0.9,0.2142857142857142,0.75,0.75,1.25,0.03439825781135999,0.0004428614561900573,0.03385399727775762,0.03430536539883976,0.03516519876115333,0.9405647100314367,0.0015959431533665502,0.9377779439343735,0.9408687663381805,0.9425127439271446,0.011560276250315117,0.007384163159264716,0.0017531197172880875,0.009818193730551927,0.0278101442340247,3.980426815745525,1.2362070264233966,1.8395816874680064,4.239727442281962,5.499680041421247,0.0343399486111307,0.0010313848240170293,0.03292264640307299,0.0342151810217909,0.036162149123363095,0.9385746757722425,0.003759352081709598,0.9319289395726643,0.9390040204613408,0.943782208327967,0.006117143582974958,0.00392487316846722,0.0012096929747937636,0.005446365454112589,0.013402453197367747,9.259730037453979,2.725342965022471,4.444726722269557,9.589417331616094,13.00482547816129,113.98,11.56611871116738,85.7,120.0,120.0,0.4985975427003867,0.0005964929566516485,0.49762378274547314,0.49863576502725515,0.49935672003471504
512,fixed_shrink_1p0,50,0.6342245046797131,0.03232046665459514,0.5868056399659657,0.6372462623070378,0.6854427494834082,1.0,0.0,1.0,1.0,1.0,0.0346505843358016,0.0007179026407710821,0.03384020835993963,0.03444127775290245,0.03615394146722554,0.9396463864613707,0.0026058189311115986,0.9341617352122558,0.9403139799927303,0.9424726290308795,0.016080166050343746,0.010614126060534636,0.0025010288338036092,0.014866617147343275,0.03498827536339476,3.27608052841847,2.0039591985360232,-0.9204026450741156,3.860340605334171,5.538170537388135,0.03406162771570099,0.0010801536619570267,0.03292981758332451,0.03365812362843598,0.03631608410122576,0.9395910054004146,0.003951680209325543,0.9313794448154563,0.9410189789385939,0.9438363383050583,0.006468057767202185,0.005466535244936726,0.00017963362075363866,0.005186799446951884,0.01782351884100228,9.995168330431618,2.85421029591302,4.037967189629799,11.061392110322469,12.985876270073037,114.62,9.814379288387348,92.25,120.0,120.0,0.49827800476522854,0.000935569365469959,0.4967569715731748,0.498568665716976,0.4994883511323476
512,validation_selected,50,0.6342245046797131,0.03232046665459514,0.5868056399659657,0.6372462623070378,0.6854427494834082,0.92,0.2226922466874271,0.75,0.75,1.25,0.03423938195188057,0.0003583265284185311,0.03379843343178904,0.03415911579379062,0.03490256412401496,0.9411223876665964,0.001292495571797722,0.9387979857770903,0.9414172482602237,0.9426928872187109,0.011445621117383693,0.0060663569130263,0.005003964271739636,0.00995126063771301,0.023432939906750605,4.423914166185046,1.0002355499521935,2.572702123384386,4.647969764675015,5.654781407415921,0.034215917864536455,0.0008473015903223014,0.033214015937683763,0.0341065840476128,0.036000863891611945,0.9390055473526582,0.0030756534582371564,0.9325214030710414,0.939400398944262,0.9426400571534962,0.006833280271612852,0.004292055581227537,0.001051457650166543,0.005993186984866394,0.016715546966441817,9.587470289982205,2.2389193389945676,4.870908649208365,9.876375208741226,12.234907312911824,114.62,9.814379288387348,92.25,120.0,120.0,0.49827800476522854,0.000935569365469959,0.4967569715731748,0.498568665716976,0.4994883511323476
2048,fixed_shrink_1p0,50,0.6352254770876383,0.05741531946098254,0.5487875288683602,0.6236325513552936,0.7210040111826912,1.0,0.0,1.0,1.0,1.0,0.03519768683447967,0.0021354805553352647,0.033960871422212394,0.03456884342886428,0.03908280959952946,0.9375102796210258,0.008166868110286657,0.9226437675583486,0.9398380211093279,0.9421495500937046,0.014276108386336582,0.01366766867643085,0.0008532039921881118,0.010431872772944661,0.041769909227160944,1.7488942186002157,5.960997577000834,-9.096068677901851,3.5042527526880076,5.201350696044021,0.03508103851871212,0.0018166316236416507,0.032919117879061245,0.03449493051851603,0.0381098649989544,0.9358847434317792,0.006690785158004071,0.9243524063014317,0.9380110368465522,0.9437574189826546,0.011028338441844658,0.007466692470864986,0.0009641827183029196,0.009156638573583953,0.02224255640082584,7.301465654418197,4.8002880207663186,-0.7019398136321816,8.850204086361071,13.014149290058066,115.18,14.350837279136188,87.2,120.0,120.0,0.49881818488844315,0.0006220711730035998,0.4976390019853846,0.49891430135983805,0.4996586595958992
2048,validation_selected,50,0.6352254770876383,0.05741531946098254,0.5487875288683602,0.6236325513552936,0.7210040111826912,0.86,0.4349524956468094,0.0,1.0,1.25,0.03453690917171218,0.0007081528523350879,0.03388699696490433,0.03419113454560411,0.03582421444985208,0.939982785890031,0.00263177132592844,0.9352046778978227,0.94124577410919,0.942410783294196,0.009164951908260832,0.004818565580338864,0.0013722392603780832,0.008706492750923278,0.017483077828612158,3.5933942946380846,1.976743560773353,0.0,4.558592363648364,5.407564449625352,0.03519052972700375,0.0015817609454172408,0.03338487132104762,0.03458468418078836,0.03784422134219445,0.9354335386579542,0.005797326101797833,0.9256689190805758,0.9376678493241857,0.9419900552828411,0.011700164122727985,0.006508376174720095,0.003948122531103416,0.009876051024771737,0.022260085510778627,7.012144842922071,4.179663074884446,0.0,8.613037990484083,11.783437108732024,115.18,14.350837279136188,87.2,120.0,120.0,0.49881818488844315,0.0006220711730035998,0.4976390019853846,0.49891430135983805,0.4996586595958992
