train_schedules,target_schedule,split,model,feature_set,feature_transform,window,n,mae,rmse,r2,signed_bias,max_abs_error,endpoint_abs_diff,log_residual_mae,full_wsd_step_base_mae
cosine,cosine,train,step_base_for_leftover,linear_endpoint,aligned,full,16454,0.028924688185793523,0.03626181880263406,0.9622498137430467,-8.407526114960349e-05,0.1595788985044444,0.025441011196305485,0.010272871301139587,0.03510190775981406
cosine,cosine,train,step_base_for_leftover,linear_endpoint,aligned,pre_tail_1000_27125,13063,0.029088990770182652,0.03641391011444383,0.9634111739950715,-0.00021870547009401732,0.1595788985044444,0.008343914965688981,0.010194785295551692,0.03510190775981406
cosine,cosine,train,step_base_for_leftover,linear_endpoint,aligned,tail_27126_33906,3391,0.028291752573916466,0.03566986376604926,0.23366995948006486,0.0004345547652263556,0.12350514992457162,0.025441011196305485,0.010573678582470951,0.03510190775981406
cosine,cosine,train,step_base_for_leftover,linear_endpoint,aligned,early_decay_27126_30000,1438,0.028119558562063992,0.03545985028416481,0.2146743563250476,-0.0002110605377605478,0.11847550168019971,0.04198788889949867,0.010472014924241836,0.03510190775981406
cosine,cosine,train,step_base_for_leftover,linear_endpoint,aligned,endpoint_30000_33906,1954,0.028425483958445342,0.035827136247081386,0.19203545711754233,0.0009309458296221793,0.12350514992457162,0.025441011196305485,0.01065120549728499,0.03510190775981406
cosine,cosine,train,step_base_for_leftover,linear_endpoint,aligned,last_2048_sampled,2048,0.02834236113942501,0.035721189354854015,0.19449778750535884,0.0009408074953366386,0.12350514992457162,0.025441011196305485,0.010619162100543478,0.03510190775981406
cosine,cosine,train,step_base_for_leftover,linear_endpoint,aligned,last_512_sampled,512,0.029299233239346932,0.03694015382918441,0.16579015139891673,0.0005554234128787661,0.10727742968502074,0.025441011196305485,0.010986918312979072,0.03510190775981406
cosine,811,test,step_base_for_leftover,linear_endpoint,aligned,full,16454,0.033067127649341034,0.04160799463662509,0.9447402521846467,0.012714155309233734,0.17053593030028846,0.04258838275006971,0.011641402809671481,0.03510190775981406
cosine,811,test,step_base_for_leftover,linear_endpoint,aligned,pre_tail_1000_27125,13063,0.03317612289662388,0.041642713494933446,0.9418637241640643,0.014884446651226813,0.17053593030028846,0.02317805705877163,0.011516524837490985,0.03510190775981406
cosine,811,test,step_base_for_leftover,linear_endpoint,aligned,tail_27126_33906,3391,0.032647250057109875,0.04147397707432654,0.16241857230947387,0.004353637526734291,0.15140783820472947,0.04258838275006971,0.012122464723736308,0.03510190775981406
cosine,811,test,step_base_for_leftover,linear_endpoint,aligned,early_decay_27126_30000,1438,0.03650314566886008,0.046527148555533734,-0.26806076593875594,0.0212654301986819,0.15140783820472947,0.0408220760280229,0.013424577350893582,0.03510190775981406
cosine,811,test,step_base_for_leftover,linear_endpoint,aligned,endpoint_30000_33906,1954,0.02981377868365753,0.03732034421878265,0.17232586448558695,-0.008073532086243892,0.13043954365857502,0.04258838275006971,0.011165846738993429,0.03510190775981406
cosine,811,test,step_base_for_leftover,linear_endpoint,aligned,last_2048_sampled,2048,0.029666542356695698,0.037143949221479455,0.18747877664824264,-0.007739874879757083,0.13043954365857502,0.04258838275006971,0.011106793893996724,0.03510190775981406
cosine,811,test,step_base_for_leftover,linear_endpoint,aligned,last_512_sampled,512,0.03189328804228746,0.03987028081137115,0.024068170155387203,-0.015191393883371242,0.12310543134771601,0.04258838275006971,0.011973713168931338,0.03510190775981406
