family,selected_config,selected_on,val_full_mae,val_tail_mae,val_endpoint_abs_diff,test_full_mae,test_tail_mae,test_endpoint_abs_diff,test_mae_baseline,test_mae_improvement_vs_momentum,test_relative_improvement_pct,test_mae_gap_vs_step,verdict
step_abs,s0.1_shrink1_clip0.15,811:full,0.033207063538535815,0.032739427565394864,0.03687140497267105,0.0351801883052973,0.03579783971839802,0.024145945124007362,0.03772038950173981,0.002540201196442507,6.734292063249621,0.0,best_heldout_reference
s1_clamp,s0.5_shrink0.5_clip0.15,811:full,0.03661838691255314,0.03594385805386396,0.05414377848965923,0.038880869750113026,0.04067306885793756,0.04145842749505091,0.03772038950173981,-0.0011604802483732163,-3.0765330467218277,0.0037006814448157233,negative_transfer
s1_ratio,s0.5_shrink0.5_clip0.15,811:full,0.04295554263695613,0.035905530693371115,0.054143778489648575,0.04560631831763487,0.038622471979183115,0.04145842749504025,0.03772038950173981,-0.00788592881589506,-20.906276207808858,0.010426130012337567,negative_transfer
s1_raw,s0.5_shrink0.5_clip0.15,811:full,0.23455319842486033,0.44246247432045227,0.37081523573330877,0.24087264785006188,0.46455846507987414,0.3844874006747272,0.03772038950173981,-0.20315225834832207,-538.5741267039458,0.20569245954476456,negative_transfer
