coordinate,coordinate_group,target_schedule,train_x_min,train_x_max,target_x_min,target_x_max,train_x_range,target_x_range,frac_below_train,frac_above_train,frac_outside_train,max_extrapolation,normalized_max_extrapolation,full_mae,inside_support_loss_mae,outside_support_loss_mae,n_inside_support,n_outside_support,verdict
step_abs,control_step,811,1000.0,33906.0,1000.0,33906.0,32906.0,32906.0,0.0,0.0,0.0,0.0,0.0,0.016293464639183335,0.016293464639183335,,16454,0,no_coordinate_support_problem
effective_update_hl512_epslr2_1e-10,sujianlin_update_rms,811,1000.4758482477588,32136.983542361075,1000.9499537534106,31752.65594314387,31136.507694113316,30751.70598939046,0.0,0.0,0.0,0.0,0.0,0.03588021379113226,0.03588021379113226,,16454,0,mostly_inside_cosine_support
effective_update_hl512_epslr2_1e-12,sujianlin_update_rms,811,1000.5253874067109,32160.169644433834,1000.9994995003926,31761.25404140981,31159.644257027125,30760.254541909417,0.0,0.0,0.0,0.0,0.0,0.035880858912609545,0.035880858912609545,,16454,0,mostly_inside_cosine_support
effective_update_hl512_epslr2_0,sujianlin_update_rms,811,1000.5258878397974,32160.40479476634,1001.0,31761.3412386172,31159.87890692654,30760.3412386172,0.0,0.0,0.0,0.0,0.0,0.035880862908968414,0.035880862908968414,,16454,0,mostly_inside_cosine_support
softsign_lr_time_hl512_epslr_0,sujianlin_softsign,811,1000.5258878397974,32160.40479476634,1001.0,31761.3412386172,31159.87890692654,30760.3412386172,0.0,0.0,0.0,0.0,0.0,0.035880862908968414,0.035880862908968414,,16454,0,mostly_inside_cosine_support
effective_update_hl64_epslr2_1e-10,sujianlin_update_rms,811,1000.8020622608607,33665.97653280731,1000.9499537534106,33618.545790659606,32665.17447054645,32617.595836906195,0.0,0.0,0.0,0.0,0.0,0.03588551821974998,0.03588551821974998,,16454,0,mostly_inside_cosine_support
effective_update_hl64_epslr2_0,sujianlin_update_rms,811,1000.8521508484524,33694.64018825995,1001.0,33636.99597396488,32693.7880374115,32635.995973964877,0.0,0.0,0.0,0.0,0.0,0.03588572183181386,0.03588572183181386,,16454,0,mostly_inside_cosine_support
softsign_lr_time_hl64_epslr_0,sujianlin_softsign,811,1000.8521508484524,33694.64018825995,1001.0,33636.99597396488,32693.7880374115,32635.995973964877,0.0,0.0,0.0,0.0,0.0,0.03588572183181386,0.03588572183181386,,16454,0,mostly_inside_cosine_support
effective_update_hl64_epslr2_1e-12,sujianlin_update_rms,811,1000.8516499253492,33694.35227643008,1000.9994995003926,33636.81032965353,32693.50062650473,32635.810830153132,0.0,0.0,0.0,0.0,0.0,0.03588572294106019,0.03588572294106019,,16454,0,mostly_inside_cosine_support
softsign_lr_time_hl512_epslr_1e-05,sujianlin_softsign,811,990.6180196605959,31273.31815051592,991.0891089108799,31281.35782047548,30282.700130855323,30290.2687115646,0.0,0.0003038774766014343,0.0003038774766014343,8.039669959562161,0.00026548722289695915,0.035861053791337735,0.03586247295831673,0.03119227826384554,16449,5,mostly_inside_cosine_support
