method,correction,feature_set,schedule,target,window,n,mae,rmse,mape,r2
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.05_shrink0.5,wsd,roll5,steps_20000_30000,5001,0.03468602965235055,0.036222364582169465,0.012533622572435569,-0.30721338558167033
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.05_shrink0.5,wsd,raw,full,16450,0.03580310722958274,0.04489360951095796,0.01270085830321712,0.9330584193396307
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.05_shrink0.5,wsd,raw,steps_20000_30000,5001,0.04191173650971866,0.051644692010571744,0.015249416140391265,-0.16272236390902828
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.05_shrink0.75,cosine,roll5,full,16450,0.005378049039473942,0.006680087459017744,0.0019065672834740934,0.9986648771026296
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.05_shrink0.75,cosine,roll5,steps_20000_30000,5001,0.005220703273181496,0.006466650855428137,0.0019248801280809167,0.9472326601172641
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.05_shrink0.75,cosine,raw,full,16450,0.030258114173920776,0.0378750155558283,0.01075218862151095,0.9585303976401567
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.05_shrink0.75,cosine,raw,steps_20000_30000,5001,0.03012082237739953,0.03767391914870305,0.01111833850774527,0.3162457376263448
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.05_shrink0.75,wsd,roll5,full,16450,0.02048436721132324,0.02445595507446271,0.007309231795490252,0.9793202874309066
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.05_shrink0.75,wsd,roll5,steps_20000_30000,5001,0.03507900449881807,0.035842364314877986,0.012664047616315106,-0.27992991896555375
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.05_shrink0.75,wsd,raw,full,16450,0.0356276665550092,0.04467053628255047,0.012636573145565481,0.9337220226660992
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.05_shrink0.75,wsd,raw,steps_20000_30000,5001,0.04201365109337229,0.05170022349823419,0.015282064222343605,-0.16522416665526474
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.05_shrink1,cosine,roll5,full,16450,0.004046303781886996,0.004923719339106072,0.0014340443599650022,0.9992746568301615
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.05_shrink1,cosine,roll5,steps_20000_30000,5001,0.0039216536561976646,0.004760589484300001,0.001446365279848411,0.9714025150426726
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.05_shrink1,cosine,raw,full,16450,0.03040037829396356,0.03803686163074728,0.010801515058233093,0.9581752277559532
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.05_shrink1,cosine,raw,steps_20000_30000,5001,0.030234744394112573,0.03784325260689565,0.011162026876760876,0.3100853656276199
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.05_shrink1,wsd,roll5,full,16450,0.020084359458625443,0.024200067923700705,0.0071662021616939325,0.9797507747163068
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.05_shrink1,wsd,roll5,steps_20000_30000,5001,0.03547927631948781,0.03601314049705911,0.01279710023025098,-0.2921558019988857
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.05_shrink1,wsd,raw,full,16450,0.03581753890995894,0.04490255989503408,0.012699154575897618,0.9330317245565519
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.05_shrink1,wsd,raw,steps_20000_30000,5001,0.04238971976461678,0.05213742153335642,0.015412299696517948,-0.18501470799019448
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.1_shrink0.5,cosine,roll5,full,16450,0.008912466359675698,0.011113360655837535,0.0031606094403561712,0.9963047164892129
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.1_shrink0.5,cosine,roll5,steps_20000_30000,5001,0.008666645003699751,0.01077112911683223,0.0031953614056707664,0.8536041255316958
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.1_shrink0.5,cosine,raw,full,16450,0.030579117091127938,0.03828222729308553,0.010866659779703788,0.957633886415618
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.1_shrink0.5,cosine,raw,steps_20000_30000,5001,0.03040669261859246,0.0380529141835139,0.011221810935753269,0.30241957182785495
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.1_shrink0.5,wsd,roll5,full,16450,0.021658065260501073,0.025897163247577765,0.007715863115982153,0.9768111275797428
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.1_shrink0.5,wsd,roll5,steps_20000_30000,5001,0.03468876263792081,0.03648144636472083,0.012536315657799923,-0.3259800437661331
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.1_shrink0.5,wsd,raw,full,16450,0.03582380856574773,0.04493831970961036,0.012708540059323243,0.9329250167563272
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.1_shrink0.5,wsd,raw,steps_20000_30000,5001,0.041960927047849005,0.051689186207017915,0.01526722386387197,-0.1647267008891884
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.1_shrink0.75,cosine,roll5,full,16450,0.006637506947052558,0.008252614400160542,0.002353857903702621,0.997962300899126
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.1_shrink0.75,cosine,roll5,steps_20000_30000,5001,0.006460497695986003,0.008020150339164915,0.002382253479025915,0.9188345141059002
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.1_shrink0.75,cosine,raw,full,16450,0.030248058352404555,0.03788406921622051,0.010748994577270708,0.9585105694465613
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.1_shrink0.75,cosine,raw,steps_20000_30000,5001,0.03012802009111859,0.037702645040151465,0.011120653274169797,0.3152026319796585
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.1_shrink0.75,wsd,roll5,full,16450,0.020861803471058198,0.024928864323679727,0.007439277702205601,0.9785127800135162
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.1_shrink0.75,wsd,roll5,steps_20000_30000,5001,0.03507695337360263,0.0361555182679204,0.01266589790461197,-0.3023930615554584
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.1_shrink0.75,wsd,raw,full,16450,0.035606545290444776,0.044674516350005807,0.012629989285903647,0.9337102116338529
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.1_shrink0.75,wsd,raw,steps_20000_30000,5001,0.042028753059471236,0.05171172632520333,0.015287880560519515,-0.16574272778038668
