block_size,replicate,mlp_seed,n_train,n_blocks,train_unique_count,train_unique_fraction,target,feature_set,feature_count,m,hidden,activation,scaler,alpha,learning_rate,batch_size,max_iter,n_iter,loss_curve_final,baseline_validation_mae,baseline_validation_r2,baseline_test_mae,baseline_test_r2,momentum_objective,momentum_L0,momentum_A,momentum_C,momentum_alpha,selection_mode,selected_shrink,candidate_validation_mae_by_shrink,candidate_test_mae_by_shrink,validation_mae,validation_rmse,validation_r2,validation_endpoint_abs_diff,test_mae,test_rmse,test_r2,test_endpoint_abs_diff,test_max_abs_error,validation_improvement_pct,test_improvement_pct
128,0,1588100,32908,258,21049,0.639631700498359,log_residual,kernel_summary,10,64,64-32,relu,physics,0.001,0.002,512,120,105,0.49918131328179294,0.03582421444985208,0.9352046778978227,0.03784422134219445,0.9256689190805758,0.3602291002381721,2.775526432054084,1.10220591564488,0.1809539547405603,1.0070708967261994,fixed_shrink_1p0,1.0,"{""0.0"": 0.03582421444985208, ""0.75"": 0.03397608653517354, ""1.0"": 0.03410687468715188, ""1.25"": 0.03459767199652954}","{""0.0"": 0.03784422134219445, ""0.75"": 0.034175459692205104, ""1.0"": 0.03348035703824169, ""1.25"": 0.033064374692433306}",0.03410687468715188,0.042671103425466796,0.9416503254083638,0.016753463565926108,0.03348035703824169,0.04198112081907327,0.9416509198929891,0.0036786327503794958,0.18601539133705858,4.793796009411983,11.531124565872005
128,0,1588100,32908,258,21049,0.639631700498359,log_residual,kernel_summary,10,64,64-32,relu,physics,0.001,0.002,512,120,105,0.49918131328179294,0.03582421444985208,0.9352046778978227,0.03784422134219445,0.9256689190805758,0.3602291002381721,2.775526432054084,1.10220591564488,0.1809539547405603,1.0070708967261994,validation_selected,0.75,"{""0.0"": 0.03582421444985208, ""0.75"": 0.03397608653517354, ""1.0"": 0.03410687468715188, ""1.25"": 0.03459767199652954}","{""0.0"": 0.03784422134219445, ""0.75"": 0.034175459692205104, ""1.0"": 0.03348035703824169, ""1.25"": 0.033064374692433306}",0.03397608653517354,0.04252281519213011,0.9420551677959985,0.009707911259039914,0.034175459692205104,0.04287428861436035,0.9391417010290316,0.008311782300804094,0.18630524266092285,5.1588791074975555,9.69437742374384
128,1,1588101,32908,258,20336,0.6179652364166768,log_residual,kernel_summary,10,64,64-32,relu,physics,0.001,0.002,512,120,105,0.4980377355890355,0.03582421444985208,0.9352046778978227,0.03784422134219445,0.9256689190805758,0.3602291002381721,2.775526432054084,1.10220591564488,0.1809539547405603,1.0070708967261994,fixed_shrink_1p0,1.0,"{""0.0"": 0.03582421444985208, ""0.75"": 0.03431252753712697, ""1.0"": 0.03448886706799219, ""1.25"": 0.03499453242121345}","{""0.0"": 0.03784422134219445, ""0.75"": 0.03463808439379963, ""1.0"": 0.034130324593623404, ""1.25"": 0.03392104103231469}",0.03448886706799219,0.04317627931608289,0.9402605636195667,0.016882458182115645,0.034130324593623404,0.04281200198846404,0.9393183992199282,0.0013811400088497017,0.19157657266352368,3.7274994088960556,9.813642920511708
128,1,1588101,32908,258,20336,0.6179652364166768,log_residual,kernel_summary,10,64,64-32,relu,physics,0.001,0.002,512,120,105,0.4980377355890355,0.03582421444985208,0.9352046778978227,0.03784422134219445,0.9256689190805758,0.3602291002381721,2.775526432054084,1.10220591564488,0.1809539547405603,1.0070708967261994,validation_selected,0.75,"{""0.0"": 0.03582421444985208, ""0.75"": 0.03431252753712697, ""1.0"": 0.03448886706799219, ""1.25"": 0.03499453242121345}","{""0.0"": 0.03784422134219445, ""0.75"": 0.03463808439379963, ""1.0"": 0.034130324593623404, ""1.25"": 0.03392104103231469}",0.03431252753712697,0.04296080466999765,0.9408553445461854,0.009804917629407495,0.03463808439379963,0.04344870736824767,0.9375000491411082,0.0045093797259858626,0.19138151199006703,4.219734991931835,8.471932661539885
128,2,1588102,32908,258,20195,0.6136805639965965,log_residual,kernel_summary,10,64,64-32,relu,physics,0.001,0.002,512,120,120,0.4972084637225169,0.03582421444985208,0.9352046778978227,0.03784422134219445,0.9256689190805758,0.3602291002381721,2.775526432054084,1.10220591564488,0.1809539547405603,1.0070708967261994,fixed_shrink_1p0,1.0,"{""0.0"": 0.03582421444985208, ""0.75"": 0.035134650101216504, ""1.0"": 0.03497178995271869, ""1.25"": 0.03484226608420253}","{""0.0"": 0.03784422134219445, ""0.75"": 0.03672864714820302, ""1.0"": 0.036430408315793895, ""1.25"": 0.0361703205878702}",0.03497178995271869,0.04388423029757258,0.9382854363512105,0.004065399127423319,0.036430408315793895,0.0456753129005469,0.9309300697443834,0.013615162280335547,0.19143871631316856,2.3794645890327604,3.7358755874948417
128,2,1588102,32908,258,20195,0.6136805639965965,log_residual,kernel_summary,10,64,64-32,relu,physics,0.001,0.002,512,120,120,0.4972084637225169,0.03582421444985208,0.9352046778978227,0.03784422134219445,0.9256689190805758,0.3602291002381721,2.775526432054084,1.10220591564488,0.1809539547405603,1.0070708967261994,validation_selected,1.25,"{""0.0"": 0.03582421444985208, ""0.75"": 0.035134650101216504, ""1.0"": 0.03497178995271869, ""1.25"": 0.03484226608420253}","{""0.0"": 0.03784422134219445, ""0.75"": 0.03672864714820302, ""1.0"": 0.036430408315793895, ""1.25"": 0.0361703205878702}",0.03484226608420253,0.043718617647925166,0.9387503608401963,0.0021994267396068246,0.0361703205878702,0.04535639683524951,0.9318912283350946,0.011458328327507594,0.1915993154798059,2.7410185561057103,4.423134351711263
128,3,1588103,32908,258,20604,0.6261091527895952,log_residual,kernel_summary,10,64,64-32,relu,physics,0.001,0.002,512,120,120,0.4988848605136521,0.03582421444985208,0.9352046778978227,0.03784422134219445,0.9256689190805758,0.3602291002381721,2.775526432054084,1.10220591564488,0.1809539547405603,1.0070708967261994,fixed_shrink_1p0,1.0,"{""0.0"": 0.03582421444985208, ""0.75"": 0.034559162925794536, ""1.0"": 0.03437040560532289, ""1.25"": 0.034296932716488676}","{""0.0"": 0.03784422134219445, ""0.75"": 0.03572622776512509, ""1.0"": 0.035201755252006854, ""1.25"": 0.03477345992676599}",0.03437040560532289,0.04307388938635996,0.940543564567216,0.004681431492274513,0.035201755252006854,0.04416207839771724,0.9354308656778809,0.008707244654878377,0.19056265490437774,4.0581736874210605,6.982482388246092
128,3,1588103,32908,258,20604,0.6261091527895952,log_residual,kernel_summary,10,64,64-32,relu,physics,0.001,0.002,512,120,120,0.4988848605136521,0.03582421444985208,0.9352046778978227,0.03784422134219445,0.9256689190805758,0.3602291002381721,2.775526432054084,1.10220591564488,0.1809539547405603,1.0070708967261994,validation_selected,1.25,"{""0.0"": 0.03582421444985208, ""0.75"": 0.034559162925794536, ""1.0"": 0.03437040560532289, ""1.25"": 0.034296932716488676}","{""0.0"": 0.03784422134219445, ""0.75"": 0.03572622776512509, ""1.0"": 0.035201755252006854, ""1.25"": 0.03477345992676599}",0.034296932716488676,0.04295954332677252,0.9408588175079171,0.008721875188236083,0.03477345992676599,0.04362484823996927,0.9369922729010153,0.005329845830580382,0.19050421922602956,4.263266499538581,8.114214816740628
128,4,1588104,32908,258,20857,0.6337972529476116,log_residual,kernel_summary,10,64,64-32,relu,physics,0.001,0.002,512,120,120,0.4987749961682666,0.03582421444985208,0.9352046778978227,0.03784422134219445,0.9256689190805758,0.3602291002381721,2.775526432054084,1.10220591564488,0.1809539547405603,1.0070708967261994,fixed_shrink_1p0,1.0,"{""0.0"": 0.03582421444985208, ""0.75"": 0.03537233503365876, ""1.0"": 0.03524861870571282, ""1.25"": 0.035139408830591905}","{""0.0"": 0.03784422134219445, ""0.75"": 0.03720333733808107, ""1.0"": 0.03701380799084942, ""1.25"": 0.036835451683264256}",0.03524861870571282,0.044240377254871587,0.9372796699440922,0.006468311098830615,0.03701380799084942,0.04638207164442468,0.9287760197579269,0.01790665920926182,0.18997171591105833,1.6067225840918307,2.194293664642431
128,4,1588104,32908,258,20857,0.6337972529476116,log_residual,kernel_summary,10,64,64-32,relu,physics,0.001,0.002,512,120,120,0.4987749961682666,0.03582421444985208,0.9352046778978227,0.03784422134219445,0.9256689190805758,0.3602291002381721,2.775526432054084,1.10220591564488,0.1809539547405603,1.0070708967261994,validation_selected,1.25,"{""0.0"": 0.03582421444985208, ""0.75"": 0.03537233503365876, ""1.0"": 0.03524861870571282, ""1.25"": 0.035139408830591905}","{""0.0"": 0.03784422134219445, ""0.75"": 0.03720333733808107, ""1.0"": 0.03701380799084942, ""1.25"": 0.036835451683264256}",0.035139408830591905,0.044100522151678936,0.9376755930303967,0.0052012880667349215,0.036835451683264256,0.04616511621062744,0.9294407718513716,0.016819417202130094,0.18976557955395235,1.9115719068140018,2.665584396118797
