family,target_schedule,train_x_min,train_x_max,target_x_min,target_x_max,frac_below_train_after_transform,frac_above_train_after_transform,frac_outside_train_after_transform,frac_raw_outside_train,frac_clamped,max_extrapolation,normalized_max_extrapolation,full_mae,inside_support_loss_mae,outside_support_loss_mae,n_inside_support,n_outside_support,verdict
s1_clamp,811,1.0003554644952564,18.649300036322675,1.0010000000000006,18.649300036322675,0.0,0.0,0.0,0.4636562537984685,0.4636562537984685,0.0,0.0,0.03661838691255314,0.03661838691255314,,16454,0,clamp_removes_extrapolation_but_tests_phase
s1_ratio,811,0.05364037591474717,1.0,0.03507686450401549,1.0,0.01610550625987602,0.0,0.01610550625987602,0.4636562537984685,0.0,0.018563511410731683,0.01961570521214395,0.04295554263695613,0.03626427633037239,0.4517287888153877,16189,265,scale_normalized_coordinate
s1_raw,811,1.0003554644952564,18.649300036322675,1.0010000000000006,28.537328354574257,0.0,0.4636562537984685,0.4636562537984685,0.4636562537984685,0.0,9.888028318251582,0.560261735652771,0.23455319842486033,0.03415870691173877,0.46636357823916064,8825,7629,raw_coordinate_extrapolates
step_abs,811,1000.0,33906.0,1000.0,33906.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033207063538535815,0.033207063538535815,,16454,0,no_coordinate_support_problem
s1_clamp,wsd,1.0003554644952564,18.649300036322675,1.0010000000000006,18.649300036322675,0.0,0.0,0.0,0.4636562537984685,0.4636562537984685,0.0,0.0,0.038880869750113026,0.038880869750113026,,16454,0,clamp_removes_extrapolation_but_tests_phase
s1_ratio,wsd,0.05364037591474717,1.0,0.03361693113283473,1.0,0.018171873100765772,0.0,0.018171873100765772,0.4636562537984685,0.0,0.02002344478191244,0.021158388705844265,0.04560631831763487,0.03807136527515624,0.4527205872181109,16155,299,scale_normalized_coordinate
s1_raw,wsd,1.0003554644952564,18.649300036322675,1.0010000000000006,29.776662124351137,0.0,0.4636562537984685,0.4636562537984685,0.4636562537984685,0.0,11.127362088028462,0.6304831454788974,0.24087264785006188,0.03516199289715961,0.47883260721031384,8825,7629,raw_coordinate_extrapolates
step_abs,wsd,1000.0,33906.0,1000.0,33906.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0351801883052973,0.0351801883052973,,16454,0,no_coordinate_support_problem
