model,feature_set,config,split,target_schedule,window,n,mae,rmse,mape,r2,signed_bias,max_abs_error,endpoint_abs_diff,mae_baseline,mae_improvement_vs_momentum,relative_mae_improvement_pct,step_reference_mae,mae_gap_vs_step_reference
best_ema_memory_811_selected,current_lr_ewma_lr2,current_lr_ewma_lr2_h1024_ridge0p01_shrink1p25_clip0p05,train,cosine,steps_30000_33906,1954,0.03171294969404958,0.039769143310960646,0.011895210446900624,0.0044557159093771,0.0013311744705835256,0.1353797620743742,0.04470443314535233,0.03176104292493659,4.809323088700995e-05,0.15142207704159,,
best_ema_memory_811_selected,current_lr_ewma_lr2,current_lr_ewma_lr2_h1024_ridge0p01_shrink1p25_clip0p05,train,cosine,last_2048_sampled,2048,0.03162122587996644,0.03969037294935105,0.01185991796122033,0.005544678356163124,0.0013081475711527444,0.1353797620743742,0.04470443314535233,0.03166922450913761,4.799862917116704e-05,0.15156237614002155,,
best_ema_memory_811_selected,current_lr_ewma_lr2,current_lr_ewma_lr2_h1024_ridge0p01_shrink1p25_clip0p05,validation,811,full,16454,0.03479166134594969,0.0436131952107055,0.012277927886158585,0.9392856793805783,0.008897329841387839,0.18359556896144502,0.06231608451955184,0.035786677452969595,0.0009950161070199082,2.780409297084218,0.0164473637600758,0.018344297585873887
best_ema_memory_811_selected,current_lr_ewma_lr2,current_lr_ewma_lr2_h1024_ridge0p01_shrink1p25_clip0p05,validation,811,steps_27126_33906,3391,0.033358874577064115,0.04180042265911571,0.012412298860589106,0.14918131587222672,-0.0021899715750671915,0.15170326282189972,0.06231608451955184,0.035358896851653436,0.0020000222745893206,5.656348055710897,0.0151542069521842,0.018204667624879916
best_ema_memory_811_selected,current_lr_ewma_lr2,current_lr_ewma_lr2_h1024_ridge0p01_shrink1p25_clip0p05,validation,811,steps_30000_33906,1954,0.03330753296018006,0.041333130816810996,0.012437636562370789,-0.015230619187634353,-0.00989847649851049,0.15170326282189972,0.06231608451955184,0.03254554010472091,-0.000761992855459151,-2.341312674508725,0.0100502184846781,0.023257314475501962
best_ema_memory_811_selected,current_lr_ewma_lr2,current_lr_ewma_lr2_h1024_ridge0p01_shrink1p25_clip0p05,validation,811,last_2048_sampled,2048,0.033147125700021624,0.04118353380353938,0.012375105676595902,0.0011373410863202427,-0.009502295026574983,0.15170326282189972,0.06231608451955184,0.032416249889189584,-0.0007308758108320393,-2.254658738535259,0.0097109073051012,0.023436218394920424
best_ema_memory_811_selected,current_lr_ewma_lr2,current_lr_ewma_lr2_h1024_ridge0p01_shrink1p25_clip0p05,test,wsd,full,16454,0.036327364556480404,0.04558359453080049,0.012866051484191737,0.9314899957705747,0.0168988135633524,0.1908711503213083,0.050704754720651835,0.03772038950173981,0.0013930249452594051,3.6930290584490213,0.0208777617992575,0.015449602757222906
best_ema_memory_811_selected,current_lr_ewma_lr2,current_lr_ewma_lr2_h1024_ridge0p01_shrink1p25_clip0p05,test,wsd,steps_27126_33906,3391,0.035941895514550674,0.04526945015930188,0.013364964013923349,0.27706686502842837,0.016775117148278788,0.1606379042634547,0.050704754720651835,0.03875375885797014,0.0028118633434194643,7.255717706570735,0.021855493084408,0.014086402430142673
best_ema_memory_811_selected,current_lr_ewma_lr2,current_lr_ewma_lr2_h1024_ridge0p01_shrink1p25_clip0p05,test,wsd,steps_30000_33906,1954,0.03266650694801456,0.04093298913778415,0.012251124792263354,0.033936130850164004,0.006393808537540359,0.14105004136868526,0.050704754720651835,0.033630779184426494,0.0009642722364119338,2.8672313273623535,0.0087620255154218,0.02390448143259276
best_ema_memory_811_selected,current_lr_ewma_lr2,current_lr_ewma_lr2_h1024_ridge0p01_shrink1p25_clip0p05,test,wsd,last_2048_sampled,2048,0.03272120189446294,0.04107062768077358,0.012268759211507592,0.038406348077371644,0.007119433370445348,0.15359032176662124,0.050704754720651835,0.033818500438614396,0.0010972985441514566,3.244669426260388,0.0095572702144961,0.02316393167996684
step_spline_reference_811_selected,absolute_step,spline_s0.01_shrink1_clip0.15,validation,811,full,16454,0.0164473637600758,0.0209903826369321,0.0058671100778947,0.98593641507722,0.0128015670909816,0.0733630694422382,0.0173710212096844,0.035786677452969595,0.019339313692893795,54.040539858189625,0.0164473637600758,0.0
step_spline_reference_811_selected,absolute_step,spline_s0.01_shrink1_clip0.15,validation,811,steps_27126_33906,3391,0.0151542069521842,0.0218127659899585,0.0056115830866143,0.7683154077782105,0.0039194797558081,0.0733630694422382,0.0173710212096844,0.035358896851653436,0.020204689899469237,57.14174281012512,0.0151542069521842,0.0
step_spline_reference_811_selected,absolute_step,spline_s0.01_shrink1_clip0.15,validation,811,steps_30000_33906,1954,0.0100502184846781,0.0115386753865011,0.003765397882888,0.92088114132693,-0.009005631263153,0.0243008308104064,0.0173710212096844,0.03254554010472091,0.02249532162004281,69.1195215923909,0.0100502184846781,0.0
step_spline_reference_811_selected,absolute_step,spline_s0.01_shrink1_clip0.15,validation,811,last_2048_sampled,2048,0.0097109073051012,0.011293128482575,0.0036377573064812,0.9248918442544586,-0.008683597346837,0.0243008308104064,0.0173710212096844,0.032416249889189584,0.022705342584088385,70.0430884562632,0.0097109073051012,0.0
step_spline_reference_811_selected,absolute_step,spline_s0.01_shrink1_clip0.15,test,wsd,full,16454,0.0208777617992575,0.0252430338892351,0.0074534333273014,0.9789902948605604,0.0204198777782032,0.0566075673456332,0.0046002787572367,0.03772038950173981,0.01684262770248231,44.65125605796161,0.0208777617992575,0.0
step_spline_reference_811_selected,absolute_step,spline_s0.01_shrink1_clip0.15,test,wsd,steps_27126_33906,3391,0.021855493084408,0.0276438195476521,0.0080123386426478,0.7304224076999709,0.0210253148331321,0.0566075673456332,0.0046002787572367,0.03875375885797014,0.016898265773562137,43.604198074032304,0.021855493084408,0.0
step_spline_reference_811_selected,absolute_step,spline_s0.01_shrink1_clip0.15,test,wsd,steps_30000_33906,1954,0.0087620255154218,0.0113787993876373,0.0032642476199625,0.9253462203104884,0.0073213221121073,0.0308900226857438,0.0046002787572367,0.033630779184426494,0.024868753669004692,73.9464094264005,0.0087620255154218,0.0
step_spline_reference_811_selected,absolute_step,spline_s0.01_shrink1_clip0.15,test,wsd,last_2048_sampled,2048,0.0095572702144961,0.0124566631408506,0.0035573976543761,0.9115429712139942,0.0081826928462947,0.034387860974355,0.0046002787572367,0.033818500438614396,0.024261230224118295,71.73952100021712,0.0095572702144961,0.0
