feature_set_family,feature_columns,scale,beta,ridge_alpha,shrink,coef,feature_set,validation_mae,validation_rmse,validation_r2,validation_endpoint_abs_diff,test_mae,test_rmse,test_r2,test_endpoint_abs_diff
sat_s2_drop,sat_s2;sat_drop,1.0,2.0,1e-06,1.25,3.96563301982e-05;0.015258066606;-0.0152544409888,sat_s2_drop_scale1_beta2_ridge1e-06_shrink1.25,0.03543248819700492,0.04444609404523991,0.9369445643174356,0.05829026153370043,0.03723748383467471,0.0466991786267136,0.9280956208673675,0.04624566644437289
hybrid_decay_progress,sat_s2;sat_drop_times_sat_tail;sat_s2_times_progress,0.5,0.5,1.0,0.75,-0.000792964965722;0.0200210102964;0.00817464667888;-0.0230245478638,hybrid_decay_progress_scale0.5_beta0.5_ridge1_shrink0.75,0.0354439834548806,0.044473914318975995,0.936865602665988,0.0609540141720446,0.037127396419404934,0.046559670227800616,0.9285245912038936,0.04819678168208785
sat_s2_drop,sat_s2;sat_drop,2.0,1.0,1.0,1.25,-0.000169880566827;0.00906431832631;-0.00890600320456,sat_s2_drop_scale2_beta1_ridge1_shrink1.25,0.035445247494616,0.04446382090132573,0.936894256295365,0.058602712368105436,0.03723368200684306,0.04669069744838528,0.9281217360369727,0.04625939740936236
hybrid_decay_progress,sat_s2;sat_drop_times_sat_tail;sat_s2_times_progress,0.5,1.0,1.0,0.75,-0.000881313169104;0.00817890134799;0.0210740640544;-0.0164049517442,hybrid_decay_progress_scale0.5_beta1_ridge1_shrink0.75,0.03544638555766838,0.04446063736498976,0.9369032925064682,0.06498686339910797,0.03697349569237211,0.046369683999936316,0.9291067103664485,0.051710716639653764
sat_s2,sat_s2,1.0,2.0,1e-06,1.25,-0.000437750544806;0.000386464082583,sat_s2_scale1_beta2_ridge1e-06_shrink1.25,0.03545508320151716,0.04449470031168314,0.9368065740055556,0.05883556392353828,0.03721287739367491,0.04666525997687669,0.9282000344273414,0.046177104075869835
sat_s2,sat_s2,1.0,2.0,0.0001,1.25,-0.000437750528439;0.000386464047231,sat_s2_scale1_beta2_ridge0.0001_shrink1.25,0.03545508321308596,0.04449470032624149,0.9368065739642027,0.05883556395703016,0.03721287740971026,0.04666525999618992,0.9282000343679101,0.04617710410797571
sat_s2,sat_s2,1.0,2.0,0.01,1.25,-0.000437748891779;0.000386460512054,sat_s2_scale1_beta2_ridge0.01_shrink1.25,0.03545508436995709,0.04449470178206687,0.936806569828942,0.05883556730616535,0.03721287901323372,0.04666526192750024,0.928200028424816,0.046177107318543964
sat_s2,sat_s2,1.0,2.0,1.0,1.25,-0.000437585376793;0.000386107320643,sat_s2_scale1_beta2_ridge1_shrink1.25,0.03545519995029563,0.04449484723336379,0.9368061566749695,0.05883590191052779,0.03721303921758055,0.04666545488310183,0.9281994346539989,0.046177428078955085
sat_s2,sat_s2,2.0,2.0,1e-06,1.25,-0.000438685555876;0.000295227813881,sat_s2_scale2_beta2_ridge1e-06_shrink1.25,0.03545718120775584,0.04449722463355107,0.9367994034854228,0.058928719561293974,0.03721472269857275,0.04666749440906562,0.9281931583917109,0.046261828663068716
sat_s2,sat_s2,2.0,2.0,0.0001,1.25,-0.000438685543294;0.000295227793229,sat_s2_scale2_beta2_ridge0.0001_shrink1.25,0.035457181216463976,0.04449722464450944,0.9367994034542939,0.058928719580389366,0.037214722710705445,0.046667494423679255,0.9281931583467391,0.04626182868169382
sat_s2,sat_s2,2.0,2.0,0.01,1.25,-0.000438684285114;0.000295225727945,sat_s2_scale2_beta2_ridge0.01_shrink1.25,0.03545718208727606,0.0444972257403453,0.936799400341404,0.058928721489891256,0.0372147239239734,0.04666749588504108,0.9281931538495712,0.0462618305442164
sat_s2,sat_s2,2.0,2.0,1.0,1.25,-0.000438558555969;0.000295019345382,sat_s2_scale2_beta2_ridge1_shrink1.25,0.03545726910700198,0.04449733524838185,0.9367990892666357,0.05892891230529429,0.037214845165110345,0.046667641919697675,0.9281927044445055,0.046262016664932126
sat_s2,sat_s2,2.0,1.0,1e-06,1.25,-0.000429510982753;0.000409414701615,sat_s2_scale2_beta1_ridge1e-06_shrink1.25,0.03546126868495537,0.04450248503290779,0.9367844596307673,0.05886419358656969,0.03722132620804041,0.046675450950191044,0.9281686709920689,0.046204795978114443
sat_s2,sat_s2,2.0,1.0,0.0001,1.25,-0.000429510962527;0.0004094146531,sat_s2_scale2_beta1_ridge0.0001_shrink1.25,0.03546126869924981,0.04450248505088553,0.9367844595796927,0.05886419362656259,0.03722132622782225,0.0466754509740392,0.9281686709186665,0.046204796016423355
sat_s2,sat_s2,2.0,1.0,0.01,1.25,-0.000429508939997;0.000409409801588,sat_s2_scale2_beta1_ridge0.01_shrink1.25,0.035461270128676066,0.04450248684863965,0.9367844544722925,0.058864197625806636,0.03722132820598398,0.046675453358827064,0.928168663578513,0.04620479984727943
sat_s2,sat_s2,2.0,1.0,1.0,1.25,-0.000429306928773;0.000408925230363,sat_s2_scale2_beta1_ridge1_shrink1.25,0.03546141290044401,0.0445026664139241,0.9367839443282031,0.05886459707209912,0.037221525785708864,0.04667569155685656,0.9281679304254221,0.04620518247493255
