model,train_schedule,target_schedule,config,window,n,mae,rmse,mape,r2,signed_bias,max_abs_error,endpoint_abs_diff,model_baseline,config_baseline,n_baseline,mae_baseline,rmse_baseline,mape_baseline,r2_baseline,signed_bias_baseline,max_abs_error_baseline,endpoint_abs_diff_baseline,mae_improvement,rmse_improvement,relative_mae_improvement_pct
step_spline_811_selected,cosine,811,spline_s0.01_shrink1_clip0.15,full,16454,0.016447363760075835,0.020990382636932103,0.005867110077894784,0.98593641507722,0.012801567090981613,0.07336306944223825,0.01737102120968448,momentum_baseline,none,16454,0.035786677452969595,0.044917079432651615,0.012653357784427404,0.9356011148197827,0.01321151805496938,0.1833267369260998,0.058343827724042896,0.01933931369289376,0.023926696795719512,54.04053985818953
step_spline_811_selected,cosine,811,spline_s0.01_shrink1_clip0.15,steps_1000_10000,4501,0.003903720170745396,0.005333055773072358,0.0012540499681456293,0.9993628494502665,-0.000957026982757722,0.04928256369353079,0.007849060183234169,momentum_baseline,none,4501,0.03298292621219918,0.04127588320393162,0.010837714544509642,0.9618334801968729,5.231527117862131e-06,0.17989915797638245,0.0027662631648981417,0.02907920604145378,0.03594282743085926,88.1644213565819
step_spline_811_selected,cosine,811,spline_s0.01_shrink1_clip0.15,steps_10000_20000,5001,0.017457943715458852,0.01894301588863549,0.006181138066120367,0.8234168014193234,0.01745539311908865,0.037143778486782075,0.03256049370963421,momentum_baseline,none,5001,0.03551849144556949,0.044601484086257574,0.012628473254734743,0.021074251470880268,0.018245187932567315,0.1833267369260998,0.007653356070774997,0.01806054773011064,0.025658468197622086,50.848296183377116
step_spline_811_selected,cosine,811,spline_s0.01_shrink1_clip0.15,steps_20000_30000,5001,0.029224137809592394,0.031833809597922764,0.010525473318649321,0.6694106169965515,0.02905159511412691,0.07336306944223825,0.0005282521868066326,momentum_baseline,none,5001,0.039836180659503104,0.049750368243529255,0.014496501715749805,0.19257113231493506,0.026982164063859625,0.1633332522191182,0.0544410128038475,0.01061204284991071,0.01791655864560649,26.639207560123257
step_spline_811_selected,cosine,811,spline_s0.01_shrink1_clip0.15,steps_20000_27125,3563,0.032107660981697775,0.03228895743001853,0.011497727026025263,0.3765962067865445,0.032107660981697775,0.045969199295639473,0.028157845543484772,momentum_baseline,none,3563,0.04009493814371008,0.049796380102521604,0.014480788944443518,-0.48271247740155876,0.029296057734025476,0.16301170518663355,0.022164973386674447,0.007987277162012307,0.017507422672503076,19.920911545951135
step_spline_811_selected,cosine,811,spline_s0.01_shrink1_clip0.15,steps_27126_30000,1438,0.022079497293450913,0.030676987345979304,0.008116474737717132,0.44874491921496684,0.021479437474241653,0.07336306944223825,0.0005282521868066326,momentum_baseline,none,1438,0.039195045112751035,0.04963617873782878,0.014535433985683258,-0.4431911946338223,0.021248921263580817,0.1633332522191182,0.0544410128038475,0.017115547819300123,0.018959191391849477,43.66763138061052
step_spline_811_selected,cosine,811,spline_s0.01_shrink1_clip0.15,steps_27126_33906,3391,0.01515420695218424,0.021812765989958547,0.005611583086614378,0.7683154077782105,0.003919479755808121,0.07336306944223825,0.01737102120968448,momentum_baseline,none,3391,0.035358896851653436,0.044598670242173316,0.013173520419694818,0.03145569419894911,0.006407503781451169,0.1633332522191182,0.058343827724042896,0.0202046898994692,0.02278590425221477,57.14174281012502
step_spline_811_selected,cosine,811,spline_s0.01_shrink1_clip0.15,steps_30000_33906,1954,0.010050218484678174,0.01153867538650117,0.0037653978828880524,0.92088114132693,-0.009005631263153006,0.02430083081040646,0.01737102120968448,momentum_baseline,none,1954,0.03254554010472091,0.040499253337113385,0.012175053230959609,0.025319819029573032,-0.004490103603543735,0.14762860940402645,0.058343827724042896,0.022495321620042738,0.028960577950612215,69.11952159239068
step_spline_811_selected,cosine,811,spline_s0.01_shrink1_clip0.15,last_512_sampled,512,0.01574802077642404,0.015927021373650846,0.005906867184900707,0.844263640106254,-0.01574802077642404,0.02430083081040646,0.01737102120968448,momentum_baseline,none,512,0.034096744081436106,0.042137785433193964,0.012753014982178342,-0.09009490168107748,-0.012147904941387837,0.14762860940402645,0.058343827724042896,0.018348723305012065,0.026210764059543118,53.813710954888464
step_spline_811_selected,cosine,811,spline_s0.01_shrink1_clip0.15,last_2048_sampled,2048,0.009710907305101216,0.01129312848257506,0.0036377573064812294,0.9248918442544586,-0.008683597346837022,0.02430083081040646,0.01737102120968448,momentum_baseline,none,2048,0.032416249889189584,0.040386037037046234,0.012123680388688132,0.03944765124845617,-0.004211482873508487,0.14762860940402645,0.058343827724042896,0.022705342584088368,0.029092908554471174,70.04308845626315
