coordinate,coordinate_group,config,target_schedule,window,n,mae_baseline,mae_corrected,mae_improvement,relative_mae_improvement_pct,rmse_baseline,rmse_corrected,rmse_improvement,r2_corrected,signed_bias_corrected,endpoint_abs_diff,step_mae,step_rmse,mae_gap_vs_step,rmse_gap_vs_step,verdict
step_abs,control_step,interp_raw_shrink1_clip0.15,wsd,full,16454,0.03772038950173981,0.02076747763849802,0.016952911863241788,44.94362886273975,0.04727466039406645,0.025158663160201444,0.022115997233865006,0.9791305031910535,0.020424749328843403,0.0045613889480131675,0.02076747763849802,0.025158663160201444,0.0,0.0,step_reference
sqrt_cum_lr2,sujianlin_noise,interp_roll501_shrink1_clip0.15,wsd,full,16454,0.03772038950173981,0.03643467901740054,0.0012857104843392725,3.4085291836129383,0.04727466039406645,0.045713564619978594,0.0015610957740878548,0.9310987609168402,0.017896393361267054,0.04961961143450555,0.02076747763849802,0.025158663160201444,0.015667201378902516,0.02055490145977715,helps_but_weaker_than_step
s1_raw,control_s1,interp_roll501_shrink1_clip0.15,wsd,full,16454,0.03772038950173981,0.03669824486046892,0.0010221446412708862,2.7097934426783716,0.04727466039406645,0.04603467005611069,0.001239990337955757,0.9301273964080242,0.018504474592108862,0.04961961143450555,0.02076747763849802,0.025158663160201444,0.015930767221970902,0.02087600689590925,helps_but_weaker_than_step
effective_update_hl4096_epslr2_1e-06,sujianlin_update_rms,interp_roll501_shrink1_clip0.15,wsd,full,16454,0.03772038950173981,0.036811089027391705,0.0009093004743481042,2.410633841164773,0.04727466039406645,0.04617491324565494,0.0010997471484115104,0.9297010184980437,0.018690489539757122,0.04961961143450555,0.02076747763849802,0.025158663160201444,0.016043611388893684,0.021016250085453495,helps_but_weaker_than_step
softsign_lr_time_hl4096_epslr_1e-03,sujianlin_softsign,interp_roll501_shrink1_clip0.15,wsd,full,16454,0.03772038950173981,0.03682380360777103,0.0008965858939687793,2.3769263939531307,0.04727466039406645,0.04619735455161593,0.0010773058424505197,0.9296326703754879,0.018721602133037318,0.04961961143450555,0.02076747763849802,0.025158663160201444,0.01605632596927301,0.021038691391414486,helps_but_weaker_than_step
effective_update_hl512_epslr2_1e-06,sujianlin_update_rms,interp_roll501_shrink1_clip0.15,wsd,full,16454,0.03772038950173981,0.03684715816972416,0.0008732313320156462,2.315011439570022,0.04727466039406645,0.04624301040371928,0.001031649990347168,0.9294935166106494,0.018799040603252225,0.04961961143450555,0.02076747763849802,0.025158663160201444,0.016079680531226142,0.021084347243517838,helps_but_weaker_than_step
effective_update_hl64_epslr2_1e-06,sujianlin_update_rms,interp_roll501_shrink1_clip0.15,wsd,full,16454,0.03772038950173981,0.03685857329120657,0.000861816210533238,2.284748969767366,0.04727466039406645,0.04625591811226136,0.0010187422818050892,0.9294541504818497,0.018814281740193003,0.04961961143450555,0.02076747763849802,0.025158663160201444,0.01609109565270855,0.021097254952059916,helps_but_weaker_than_step
softsign_lr_time_hl512_epslr_1e-03,sujianlin_softsign,interp_roll501_shrink1_clip0.15,wsd,full,16454,0.03772038950173981,0.03690835306618738,0.0008120364355524295,2.152778500643466,0.04727466039406645,0.04631213013312399,0.0009625302609424582,0.9292825860871484,0.018901292835211584,0.04961961143450555,0.02076747763849802,0.025158663160201444,0.01614087542768936,0.021153466972922547,helps_but_weaker_than_step
softsign_lr_time_hl64_epslr_1e-03,sujianlin_softsign,interp_roll501_shrink1_clip0.15,wsd,full,16454,0.03772038950173981,0.036924839922933106,0.0007955495788067035,2.1090704240209655,0.04727466039406645,0.04632999634146223,0.0009446640526042174,0.9292280130950369,0.018930120931887826,0.04961961143450555,0.02076747763849802,0.025158663160201444,0.016157362284435085,0.021171333181260788,helps_but_weaker_than_step
softsign_lr_time_hl4096_epslr_1e-04,sujianlin_softsign,interp_roll501_shrink1_clip0.15,wsd,full,16454,0.03772038950173981,0.036953800091533054,0.0007665894102067555,2.0322945238182055,0.04727466039406645,0.04636938473276202,0.0009052756613044319,0.9291076254456198,0.018998778746627247,0.04961961143450555,0.02076747763849802,0.025158663160201444,0.016186322453035033,0.021210721572560574,helps_but_weaker_than_step
effective_update_hl4096_epslr2_1e-08,sujianlin_update_rms,interp_roll501_shrink1_clip0.15,wsd,full,16454,0.03772038950173981,0.03698650042052821,0.0007338890812116014,1.9456031364091604,0.04727466039406645,0.04640480701689076,0.0008698533771756903,0.9289992725309076,0.019068976373191677,0.04961961143450555,0.02076747763849802,0.025158663160201444,0.016219022782030187,0.021246143856689315,helps_but_weaker_than_step
softsign_lr_time_hl4096_epslr_1e-05,sujianlin_softsign,interp_roll501_shrink1_clip0.15,wsd,full,16454,0.03772038950173981,0.03698677177719671,0.000733617724543098,1.9448837465192685,0.04727466039406645,0.0464065447507954,0.0008681156432710502,0.928993954862785,0.01907240735353554,0.04961961143450555,0.02076747763849802,0.025158663160201444,0.01621929413869869,0.021247881590593955,helps_but_weaker_than_step
effective_update_hl4096_epslr2_1e-10,sujianlin_update_rms,interp_roll501_shrink1_clip0.15,wsd,full,16454,0.03772038950173981,0.03698953583491655,0.0007308536668232599,1.937555991540199,0.04727466039406645,0.04640658375768998,0.0008680766363764678,0.9289938354948598,0.019081827312443747,0.04961961143450555,0.02076747763849802,0.025158663160201444,0.01622205819641853,0.021247920597488538,helps_but_weaker_than_step
effective_update_hl4096_epslr2_1e-12,sujianlin_update_rms,interp_roll501_shrink1_clip0.15,wsd,full,16454,0.03772038950173981,0.03698996885433907,0.0007304206474007396,1.9364080197715081,0.04727466039406645,0.04640700887999609,0.0008676515140703597,0.9289925345396839,0.019082154532810234,0.04961961143450555,0.02076747763849802,0.025158663160201444,0.01622249121584105,0.021248345719794646,helps_but_weaker_than_step
effective_update_hl4096_epslr2_0,sujianlin_update_rms,interp_roll501_shrink1_clip0.15,wsd,full,16454,0.03772038950173981,0.03698997269118298,0.0007304168105568276,1.9363978479679749,0.04727466039406645,0.046407013157129855,0.0008676472369365945,0.9289925214507798,0.019082154995499208,0.04961961143450555,0.02076747763849802,0.025158663160201444,0.01622249505268496,0.02124834999692841,helps_but_weaker_than_step
softsign_lr_time_hl4096_epslr_0,sujianlin_softsign,interp_roll501_shrink1_clip0.15,wsd,full,16454,0.03772038950173981,0.03698997269118298,0.0007304168105568276,1.9363978479679749,0.04727466039406645,0.046407013157129855,0.0008676472369365945,0.9289925214507798,0.019082154995499208,0.04961961143450555,0.02076747763849802,0.025158663160201444,0.01622249505268496,0.02124834999692841,helps_but_weaker_than_step
noise_ratio_eps1e-12,sujianlin_noise,interp_roll501_shrink1_clip0.15,wsd,full,16454,0.03772038950173981,0.03716711577768747,0.0005532737240523389,1.4667762750085593,0.04727466039406645,0.046615757488863645,0.0006589029052028045,0.9283522843772667,0.019347606751615905,0.04961961143450555,0.02076747763849802,0.025158663160201444,0.01639963813918945,0.0214570943286622,helps_but_weaker_than_step
noise_ratio_eps1e-04,sujianlin_noise,interp_roll501_shrink1_clip0.15,wsd,full,16454,0.03772038950173981,0.037167120096923995,0.0005532694048158149,1.4667648243406817,0.04727466039406645,0.04661576162299412,0.000658898771072329,0.9283522716690739,0.019347608278941445,0.04961961143450555,0.02076747763849802,0.025158663160201444,0.016399642458425973,0.021457098462792677,helps_but_weaker_than_step
noise_ratio_eps1e-02,sujianlin_noise,interp_roll501_shrink1_clip0.15,wsd,full,16454,0.03772038950173981,0.03716756634674569,0.0005528231549941226,1.4655817776447517,0.04727466039406645,0.046616206232659003,0.0006584541614074457,0.9283509049457473,0.019347757011664295,0.04961961143450555,0.02076747763849802,0.025158663160201444,0.016400088708247666,0.02145754307245756,helps_but_weaker_than_step
noise_ratio_eps1e00,sujianlin_noise,interp_roll501_shrink1_clip0.15,wsd,full,16454,0.03772038950173981,0.0371691786556751,0.0005512108460647078,1.4613074078656685,0.04727466039406645,0.046618863701722135,0.000655796692344314,0.9283427356545866,0.019348626232421933,0.04961961143450555,0.02076747763849802,0.025158663160201444,0.01640170101717708,0.02146020054152069,helps_but_weaker_than_step
softsign_lr_time_hl512_epslr_1e-04,sujianlin_softsign,interp_roll501_shrink0.75_clip0.15,wsd,full,16454,0.03772038950173981,0.0374050791794393,0.00031531032230051187,0.835914810174398,0.04727466039406645,0.04689994508923641,0.00037471530483004084,0.9274760374205387,0.019927833963363964,0.04863231707295812,0.02076747763849802,0.025158663160201444,0.016637601540941276,0.021741281929034965,helps_but_weaker_than_step
softsign_lr_time_hl64_epslr_1e-04,sujianlin_softsign,interp_roll501_shrink0.5_clip0.15,wsd,full,16454,0.03772038950173981,0.037534927835440615,0.00018546166629919425,0.4916748441599206,0.04727466039406645,0.047051054472585584,0.00022360592148086555,0.9270079470629725,0.02028912035487607,0.04764465544245189,0.02076747763849802,0.025158663160201444,0.016767450196942594,0.02189239131238414,helps_but_weaker_than_step
effective_update_hl512_epslr2_1e-08,sujianlin_update_rms,interp_roll501_shrink0.5_clip0.15,wsd,full,16454,0.03772038950173981,0.03758887968548706,0.00013150981625274782,0.34864384485394057,0.04727466039406645,0.0471129407353782,0.00016171965868824745,0.9268158078575441,0.02034112141055869,0.04764465544245189,0.02076747763849802,0.025158663160201444,0.01682140204698904,0.021954277575176758,helps_but_weaker_than_step
s1_ratio,control_s1,interp_roll501_shrink0.5_clip0.15,wsd,full,16454,0.03772038950173981,0.03760640062267413,0.00011398887906567678,0.30219433195518614,0.04727466039406645,0.04715267054846212,0.00012198984560433251,0.9266923250012464,0.020218128259091077,0.04764465544245189,0.02076747763849802,0.025158663160201444,0.01683892298417611,0.021994007388260673,helps_but_weaker_than_step
softsign_lr_time_hl512_epslr_1e-05,sujianlin_softsign,interp_roll501_shrink0.5_clip0.15,wsd,full,16454,0.03772038950173981,0.037610383125112716,0.0001100063766270934,0.29163637512815044,0.04727466039406645,0.04714392748768716,0.00013073290637929252,0.9267195079382595,0.020360220964851662,0.04764465544245189,0.02076747763849802,0.025158663160201444,0.016842905486614695,0.021985264327485713,helps_but_weaker_than_step
effective_update_hl512_epslr2_1e-10,sujianlin_update_rms,interp_roll501_shrink0.5_clip0.15,wsd,full,16454,0.03772038950173981,0.03763605240285514,8.433709888466812e-05,0.22358490990867994,0.04727466039406645,0.04717267261526534,0.0001019877788011117,0.9266301178771428,0.02038301974333891,0.04764465544245189,0.02076747763849802,0.025158663160201444,0.01686857476435712,0.022014009455063894,helps_but_weaker_than_step
effective_update_hl512_epslr2_0,sujianlin_update_rms,interp_roll501_shrink0.5_clip0.15,wsd,full,16454,0.03772038950173981,0.03763665764632493,8.373185541488137e-05,0.22198035736354033,0.04727466039406645,0.047173754854053965,0.00010090554001248447,0.9266267513244846,0.020383504400445805,0.04764465544245189,0.02076747763849802,0.025158663160201444,0.016869180007826907,0.02201509169385252,helps_but_weaker_than_step
softsign_lr_time_hl512_epslr_0,sujianlin_softsign,interp_roll501_shrink0.5_clip0.15,wsd,full,16454,0.03772038950173981,0.03763665764632493,8.373185541488137e-05,0.22198035736354033,0.04727466039406645,0.047173754854053965,0.00010090554001248447,0.9266267513244846,0.020383504400445805,0.04764465544245189,0.02076747763849802,0.025158663160201444,0.016869180007826907,0.02201509169385252,helps_but_weaker_than_step
