schedule,model,config,window,mae,rmse,r2,endpoint_abs_diff
cosine,momentum,none,full,0.03233900437067206,0.040413590175866855,0.9531105867716734,0.0413117703349406
cosine,momentum,none,steps_27126_33906,0.03168541521772093,0.03988345870165528,0.041927055836934124,0.0413117703349406
cosine,momentum,none,steps_30000_33906,0.03176104292493659,0.04000505194656985,-0.00739035648681563,0.0413117703349406
cosine,momentum,none,last_2048_sampled,0.03166922450913761,0.03992262090627103,-0.006127469350383219,0.0413117703349406
cosine,momentum,none,last_512_sampled,0.0323853742352774,0.040601287845274434,-0.007760964863668285,0.0413117703349406
cosine,spline,spline_s0.01_shrink1_clip0.15,full,0.001427491113148083,0.0022085091380458434,0.9998599708885583,3.908368613636526e-05
cosine,spline,spline_s0.01_shrink1_clip0.15,steps_27126_33906,0.0014387140157033252,0.0021934338330216224,0.9971022425887198,3.908368613636526e-05
cosine,spline,spline_s0.01_shrink1_clip0.15,steps_30000_33906,0.0014335650429291242,0.0021823118377306853,0.99700220639579,3.908368613636526e-05
cosine,spline,spline_s0.01_shrink1_clip0.15,last_2048_sampled,0.001447391933575327,0.0021987873174569602,0.9969480222493063,3.908368613636526e-05
cosine,spline,spline_s0.01_shrink1_clip0.15,last_512_sampled,0.0013885051317278074,0.0021560382709246164,0.9971582174401971,3.908368613636526e-05
811,momentum,none,full,0.035786677452969595,0.044917079432651615,0.9356011148197827,0.058343827724042896
811,momentum,none,steps_27126_33906,0.035358896851653436,0.044598670242173316,0.03145569419894911,0.058343827724042896
811,momentum,none,steps_30000_33906,0.03254554010472091,0.040499253337113385,0.025319819029573032,0.058343827724042896
811,momentum,none,last_2048_sampled,0.032416249889189584,0.040386037037046234,0.03944765124845617,0.058343827724042896
811,momentum,none,last_512_sampled,0.034096744081436106,0.042137785433193964,-0.09009490168107748,0.058343827724042896
811,spline,spline_s0.01_shrink1_clip0.15,full,0.016447363760075835,0.020990382636932103,0.98593641507722,0.01737102120968448
811,spline,spline_s0.01_shrink1_clip0.15,steps_27126_33906,0.01515420695218424,0.021812765989958547,0.7683154077782105,0.01737102120968448
811,spline,spline_s0.01_shrink1_clip0.15,steps_30000_33906,0.010050218484678174,0.01153867538650117,0.92088114132693,0.01737102120968448
811,spline,spline_s0.01_shrink1_clip0.15,last_2048_sampled,0.009710907305101216,0.01129312848257506,0.9248918442544586,0.01737102120968448
811,spline,spline_s0.01_shrink1_clip0.15,last_512_sampled,0.01574802077642404,0.015927021373650846,0.844263640106254,0.01737102120968448
wsd,momentum,none,full,0.03772038950173981,0.04727466039406645,0.9263125221222073,0.04566822982802332
wsd,momentum,none,steps_27126_33906,0.03875375885797014,0.04864293911703619,0.16530596920383311,0.04566822982802332
wsd,momentum,none,steps_30000_33906,0.033630779184426494,0.04225317405807368,-0.029384434072413423,0.04566822982802332
wsd,momentum,none,last_2048_sampled,0.033818500438614396,0.042537748476090195,-0.03152059913986127,0.04566822982802332
wsd,momentum,none,last_512_sampled,0.032466789435841165,0.04040861527782263,0.0016626177046190627,0.04566822982802332
wsd,spline,spline_s0.01_shrink1_clip0.15,full,0.020877761799257585,0.025243033889235173,0.9789902948605604,0.0046002787572367865
wsd,spline,spline_s0.01_shrink1_clip0.15,steps_27126_33906,0.021855493084408036,0.02764381954765215,0.7304224076999709,0.0046002787572367865
wsd,spline,spline_s0.01_shrink1_clip0.15,steps_30000_33906,0.008762025515421816,0.011378799387637398,0.9253462203104883,0.0046002787572367865
wsd,spline,spline_s0.01_shrink1_clip0.15,last_2048_sampled,0.009557270214496141,0.012456663140850624,0.9115429712139942,0.0046002787572367865
wsd,spline,spline_s0.01_shrink1_clip0.15,last_512_sampled,0.0028013176008139023,0.003452028718567237,0.9927141840361106,0.0046002787572367865
