schedule,mae,rmse,mape,r2
cosine,0.04149122667469299,0.12836146484697591,0.013149897857671535,0.9409910675713542
wsd,1.570929133538927,2.6824995634407185,0.5684713382941206,-25.559822581432563
811,10.829335012228464,92.74548465868462,3.949223530542267,-31593.69595267958
